customer_id,recency,monetary_value,frequency,r_quartile,f_quartile,m_quartile,RFM_segment,RFM_score
114.0,15,480,20,4,2,2,422,8
115.0,43,1550,30,4,3,3,433,10
116.0,57,1210,30,4,3,3,433,10
117.0,155,850,30,3,3,3,333,9
119.0,85,440,40,4,4,2,442,10
120.0,568,2190,20,1,2,4,124,7
121.0,246,170,10,3,1,1,311,5
122.0,204,2880,30,3,3,4,334,10
123.0,1,1500,40,4,4,3,443,11
124.0,526,380,10,1,1,2,112,4
125.0,400,650,40,2,4,2,242,8
126.0,337,820,20,2,2,3,223,7
127.0,288,2050,40,2,4,4,244,10
128.0,8,5470,20,4,2,4,424,10
130.0,92,250,30,4,3,1,431,8
131.0,659,1210,10,1,1,3,113,5
132.0,295,670,20,2,2,2,222,6
133.0,687,2510,30,1,3,4,134,8
134.0,64,60,10,4,1,1,411,6
135.0,708,1210,30,1,3,3,133,7
136.0,176,530,30,3,3,2,332,8
137.0,589,560,20,1,2,2,122,5
138.0,337,1410,40,2,4,3,243,9
140.0,141,840,30,3,3,3,333,9
141.0,470,80,20,2,2,1,221,5
142.0,22,2330,50,4,4,4,444,12
143.0,351,2450,50,2,4,4,244,10
144.0,232,550,10,3,1,2,312,6
145.0,337,2120,20,2,2,4,224,8
146.0,274,2150,40,2,4,4,244,10
147.0,85,5320,50,4,4,4,444,12
148.0,610,140,10,1,1,1,111,3
149.0,29,3820,50,4,4,4,444,12
150.0,134,1720,50,3,4,4,344,11
151.0,316,790,10,2,1,3,213,6
152.0,575,90,10,1,1,1,111,3
153.0,155,1150,20,3,2,3,323,8
154.0,274,30,10,2,1,1,211,4
155.0,617,240,10,1,1,1,111,3
156.0,78,460,30,4,3,2,432,9
158.0,71,960,30,4,3,3,433,10
160.0,288,670,20,2,2,2,222,6
161.0,92,4760,50,4,4,4,444,12
162.0,22,1500,40,4,4,3,443,11
163.0,106,110,10,4,1,1,411,6
164.0,1,1180,30,4,3,3,433,10
165.0,365,2680,20,2,2,4,224,8
166.0,757,90,10,1,1,1,111,3
167.0,148,480,30,3,3,2,332,8
168.0,211,940,30,3,3,3,333,9
169.0,211,2320,60,3,4,4,344,11
170.0,834,740,10,1,1,3,113,5
171.0,344,520,20,2,2,2,222,6
172.0,92,750,30,4,3,3,433,10
173.0,540,590,20,1,2,2,122,5
174.0,239,60,20,3,2,1,321,6
175.0,288,1150,40,2,4,3,243,9
176.0,470,250,10,2,1,1,211,4
177.0,15,1730,30,4,3,4,434,11
178.0,22,2750,20,4,2,4,424,10
179.0,659,10,10,1,1,1,111,3
181.0,211,1050,10,3,1,3,313,7
182.0,239,490,40,3,4,2,342,9
183.0,246,690,20,3,2,2,322,7
185.0,148,3040,40,3,4,4,344,11
186.0,533,60,10,1,1,1,111,3
187.0,470,40,10,2,1,1,211,4
188.0,680,60,10,1,1,1,111,3
189.0,15,780,10,4,1,3,413,8
190.0,211,1010,40,3,4,3,343,10
191.0,155,1290,40,3,4,3,343,10
192.0,57,3270,60,4,4,4,444,12
193.0,393,190,10,2,1,1,211,4
194.0,1,3160,60,4,4,4,444,12
195.0,344,2910,30,2,3,4,234,9
196.0,358,900,20,2,2,3,223,7
198.0,8,2580,30,4,3,4,434,11
199.0,288,210,10,2,1,1,211,4
201.0,141,4240,10,3,1,4,314,8
202.0,351,740,10,2,1,3,213,6
203.0,120,4660,50,3,4,4,344,11
204.0,162,1510,20,3,2,3,323,8
205.0,71,1180,50,4,4,3,443,11
206.0,792,70,10,1,1,1,111,3
207.0,8,1500,40,4,4,3,443,11
208.0,519,190,10,1,1,1,111,3
209.0,190,1950,40,3,4,4,344,11
210.0,799,210,10,1,1,1,111,3
211.0,757,110,10,1,1,1,111,3
212.0,113,2660,30,3,3,4,334,10
213.0,85,160,20,4,2,1,421,7
214.0,71,30,10,4,1,1,411,6
215.0,288,900,20,2,2,3,223,7
216.0,120,30,10,3,1,1,311,5
217.0,15,2100,50,4,4,4,444,12
218.0,407,230,20,2,2,1,221,5
219.0,106,590,30,4,3,2,432,9
221.0,36,1010,20,4,2,3,423,9
222.0,834,60,10,1,1,1,111,3
223.0,85,470,30,4,3,2,432,9
224.0,827,230,10,1,1,1,111,3
225.0,43,1690,40,4,4,4,444,12
226.0,162,1640,30,3,3,3,333,9
227.0,267,920,20,2,2,3,223,7
228.0,554,1740,20,1,2,4,124,7
229.0,50,650,30,4,3,2,432,9
230.0,127,40,10,3,1,1,311,5
231.0,225,2890,30,3,3,4,334,10
232.0,43,1300,30,4,3,3,433,10
233.0,155,2570,30,3,3,4,334,10
234.0,15,1830,30,4,3,4,434,11
235.0,57,2290,50,4,4,4,444,12
236.0,701,340,10,1,1,2,112,4
237.0,211,170,10,3,1,1,311,5
238.0,120,2020,50,3,4,4,344,11
239.0,22,1850,50,4,4,4,444,12
240.0,99,1600,30,4,3,3,433,10
241.0,169,3400,40,3,4,4,344,11
242.0,99,570,10,4,1,2,412,7
243.0,358,500,20,2,2,2,222,6
244.0,50,650,40,4,4,2,442,10
245.0,736,1030,20,1,2,3,123,6
246.0,281,670,30,2,3,2,232,7
247.0,421,140,10,2,1,1,211,4
248.0,316,910,20,2,2,3,223,7
249.0,421,450,40,2,4,2,242,8
250.0,428,250,10,2,1,1,211,4
251.0,813,30,10,1,1,1,111,3
252.0,92,140,20,4,2,1,421,7
253.0,561,480,20,1,2,2,122,5
254.0,92,580,40,4,4,2,442,10
255.0,673,60,10,1,1,1,111,3
256.0,246,490,30,3,3,2,332,8
257.0,78,390,20,4,2,2,422,8
258.0,71,2360,40,4,4,4,444,12
259.0,148,180,10,3,1,1,311,5
260.0,743,1630,10,1,1,3,113,5
261.0,92,330,20,4,2,2,422,8
262.0,344,800,30,2,3,3,233,8
263.0,218,320,10,3,1,2,312,6
264.0,120,600,40,3,4,2,342,9
265.0,85,550,40,4,4,2,442,10
266.0,148,270,20,3,2,2,322,7
267.0,197,980,20,3,2,3,323,8
268.0,365,480,10,2,1,2,212,5
269.0,232,600,30,3,3,2,332,8
270.0,148,1180,20,3,2,3,323,8
271.0,36,4490,30,4,3,4,434,11
272.0,533,1390,40,1,4,3,143,8
273.0,1,1560,30,4,3,3,433,10
274.0,379,12840,40,2,4,4,244,10
275.0,113,1830,20,3,2,4,324,9
276.0,393,4380,20,2,2,4,224,8
277.0,785,1010,10,1,1,3,113,5
278.0,29,640,30,4,3,2,432,9
279.0,288,3030,20,2,2,4,224,8
280.0,127,1570,30,3,3,3,333,9
281.0,757,300,20,1,2,2,122,5
282.0,78,5900,70,4,4,4,444,12
283.0,351,620,20,2,2,2,222,6
284.0,57,430,10,4,1,2,412,7
285.0,274,1040,60,2,4,3,243,9
286.0,295,50,10,2,1,1,211,4
287.0,43,4940,50,4,4,4,444,12
288.0,78,930,30,4,3,3,433,10
289.0,533,870,10,1,1,3,113,5
290.0,288,2870,30,2,3,4,234,9
291.0,1,140,20,4,2,1,421,7
292.0,120,2050,40,3,4,4,344,11
293.0,246,660,30,3,3,2,332,8
294.0,169,510,20,3,2,2,322,7
295.0,134,2500,40,3,4,4,344,11
296.0,106,660,20,4,2,2,422,8
297.0,673,1010,30,1,3,3,133,7
298.0,267,570,30,2,3,2,232,7
299.0,575,470,10,1,1,2,112,4
300.0,757,420,10,1,1,2,112,4
301.0,267,190,20,2,2,1,221,5
302.0,204,2030,30,3,3,4,334,10
303.0,505,120,10,1,1,1,111,3
304.0,106,2110,50,4,4,4,444,12
305.0,351,1860,20,2,2,4,224,8
306.0,43,2670,50,4,4,4,444,12
307.0,694,1830,20,1,2,4,124,7
309.0,827,250,10,1,1,1,111,3
311.0,323,1060,30,2,3,3,233,8
312.0,155,780,20,3,2,3,323,8
313.0,470,1920,30,2,3,4,234,9
314.0,43,1940,40,4,4,4,444,12
315.0,8,360,20,4,2,2,422,8
316.0,484,510,10,1,1,2,112,4
317.0,302,120,20,2,2,1,221,5
318.0,190,1180,20,3,2,3,323,8
319.0,638,760,20,1,2,3,123,6
320.0,155,1790,10,3,1,4,314,8
321.0,99,7790,40,4,4,4,444,12
322.0,8,1040,50,4,4,3,443,11
323.0,351,2430,30,2,3,4,234,9
324.0,526,1250,10,1,1,3,113,5
325.0,491,640,10,1,1,2,112,4
326.0,64,2990,30,4,3,4,434,11
327.0,134,2150,40,3,4,4,344,11
328.0,183,2300,30,3,3,4,334,10
329.0,120,140,10,3,1,1,311,5
330.0,239,480,20,3,2,2,322,7
333.0,449,11070,30,2,3,4,234,9
334.0,232,730,20,3,2,2,322,7
335.0,176,3160,30,3,3,4,334,10
336.0,666,70,10,1,1,1,111,3
337.0,519,1260,20,1,2,3,123,6
338.0,428,840,10,2,1,3,213,6
339.0,778,10,10,1,1,1,111,3
340.0,351,2660,50,2,4,4,244,10
341.0,1,480,20,4,2,2,422,8
342.0,323,550,30,2,3,2,232,7
343.0,379,2850,30,2,3,4,234,9
345.0,1,1180,30,4,3,3,433,10
346.0,106,5370,60,4,4,4,444,12
347.0,351,3030,20,2,2,4,224,8
348.0,302,5990,30,2,3,4,234,9
349.0,463,1160,20,2,2,3,223,7
350.0,288,1110,20,2,2,3,223,7
351.0,477,630,50,2,4,2,242,8
352.0,197,4050,40,3,4,4,344,11
353.0,183,1620,40,3,4,3,343,10
354.0,127,2410,30,3,3,4,334,10
355.0,456,1730,10,2,1,4,214,7
356.0,141,4530,40,3,4,4,344,11
357.0,190,410,30,3,3,2,332,8
358.0,50,1980,30,4,3,4,434,11
359.0,148,1530,40,3,4,3,343,10
360.0,841,30,10,1,1,1,111,3
361.0,596,330,10,1,1,2,112,4
362.0,43,3390,60,4,4,4,444,12
363.0,29,1580,30,4,3,3,433,10
364.0,652,250,10,1,1,1,111,3
365.0,267,860,20,2,2,3,223,7
366.0,148,3090,40,3,4,4,344,11
367.0,652,70,20,1,2,1,121,4
368.0,785,160,10,1,1,1,111,3
369.0,666,20,10,1,1,1,111,3
370.0,57,50,10,4,1,1,411,6
371.0,407,1810,30,2,3,4,234,9
372.0,113,230,10,3,1,1,311,5
373.0,15,2050,30,4,3,4,434,11
375.0,64,2650,20,4,2,4,424,10
376.0,162,1670,40,3,4,3,343,10
377.0,78,620,30,4,3,2,432,9
378.0,407,970,10,2,1,3,213,6
379.0,414,1210,20,2,2,3,223,7
380.0,85,3480,30,4,3,4,434,11
381.0,722,120,10,1,1,1,111,3
382.0,57,5560,30,4,3,4,434,11
383.0,148,3760,50,3,4,4,344,11
384.0,162,1360,40,3,4,3,343,10
385.0,113,960,50,3,4,3,343,10
386.0,204,3020,30,3,3,4,334,10
387.0,176,1770,40,3,4,4,344,11
388.0,295,510,10,2,1,2,212,5
389.0,8,840,20,4,2,3,423,9
390.0,736,810,10,1,1,3,113,5
391.0,176,3020,60,3,4,4,344,11
392.0,442,70,20,2,2,1,221,5
393.0,78,550,20,4,2,2,422,8
394.0,624,140,10,1,1,1,111,3
395.0,309,1430,20,2,2,3,223,7
396.0,113,300,20,3,2,2,322,7
399.0,64,110,10,4,1,1,411,6
400.0,442,20,10,2,1,1,211,4
401.0,141,2920,30,3,3,4,334,10
403.0,85,3730,40,4,4,4,444,12
404.0,36,990,40,4,4,3,443,11
405.0,15,2750,30,4,3,4,434,11
406.0,435,180,10,2,1,1,211,4
407.0,365,240,20,2,2,1,221,5
408.0,246,980,30,3,3,3,333,9
409.0,526,210,10,1,1,1,111,3
410.0,127,610,30,3,3,2,332,8
412.0,99,830,30,4,3,3,433,10
413.0,225,2220,40,3,4,4,344,11
414.0,218,620,20,3,2,2,322,7
415.0,638,40,10,1,1,1,111,3
416.0,92,290,20,4,2,2,422,8
417.0,358,4000,20,2,2,4,224,8
418.0,99,580,40,4,4,2,442,10
419.0,211,1510,20,3,2,3,323,8
420.0,316,380,30,2,3,2,232,7
421.0,281,1450,20,2,2,3,223,7
422.0,36,3150,40,4,4,4,444,12
423.0,43,1060,30,4,3,3,433,10
424.0,134,2740,30,3,3,4,334,10
425.0,71,3160,40,4,4,4,444,12
426.0,512,420,10,1,1,2,112,4
427.0,22,1220,20,4,2,3,423,9
428.0,288,160,20,2,2,1,221,5
429.0,211,2710,70,3,4,4,344,11
431.0,498,940,20,1,2,3,123,6
432.0,344,2380,30,2,3,4,234,9
433.0,120,1240,20,3,2,3,323,8
434.0,379,910,20,2,2,3,223,7
436.0,694,260,10,1,1,1,111,3
437.0,218,1730,20,3,2,4,324,9
438.0,232,640,20,3,2,2,322,7
439.0,57,1630,50,4,4,3,443,11
440.0,211,3260,30,3,3,4,334,10
441.0,1,1970,40,4,4,4,444,12
442.0,190,2020,40,3,4,4,344,11
443.0,246,1200,20,3,2,3,323,8
444.0,589,140,10,1,1,1,111,3
445.0,680,700,10,1,1,2,112,4
446.0,155,1920,40,3,4,4,344,11
448.0,204,2330,30,3,3,4,334,10
449.0,400,2120,50,2,4,4,244,10
450.0,64,1390,50,4,4,3,443,11
451.0,183,3470,30,3,3,4,334,10
452.0,134,4320,40,3,4,4,344,11
453.0,288,1450,30,2,3,3,233,8
454.0,694,90,10,1,1,1,111,3
455.0,246,1070,40,3,4,3,343,10
456.0,141,310,20,3,2,2,322,7
457.0,169,7550,50,3,4,4,344,11
458.0,743,3460,10,1,1,4,114,6
460.0,428,550,10,2,1,2,212,5
461.0,540,1030,40,1,4,3,143,8
462.0,400,160,10,2,1,1,211,4
463.0,239,1240,20,3,2,3,323,8
464.0,491,1270,10,1,1,3,113,5
465.0,71,2680,40,4,4,4,444,12
466.0,365,570,30,2,3,2,232,7
467.0,323,1780,20,2,2,4,224,8
468.0,400,1520,40,2,4,3,243,9
469.0,337,820,30,2,3,3,233,8
470.0,582,230,30,1,3,1,131,5
471.0,1,1280,30,4,3,3,433,10
473.0,512,730,10,1,1,2,112,4
474.0,36,150,10,4,1,1,411,6
475.0,456,320,10,2,1,2,212,5
476.0,64,420,20,4,2,2,422,8
477.0,197,4960,40,3,4,4,344,11
478.0,442,740,40,2,4,3,243,9
479.0,113,650,50,3,4,2,342,9
480.0,309,3470,30,2,3,4,234,9
481.0,127,400,10,3,1,2,312,6
482.0,29,380,30,4,3,2,432,9
483.0,57,680,40,4,4,2,442,10
484.0,106,660,40,4,4,2,442,10
486.0,113,240,40,3,4,1,341,8
487.0,757,590,10,1,1,2,112,4
488.0,120,2930,30,3,3,4,334,10
490.0,169,1860,20,3,2,4,324,9
491.0,722,430,20,1,2,2,122,5
493.0,568,190,10,1,1,1,111,3
494.0,722,120,10,1,1,1,111,3
495.0,183,2010,60,3,4,4,344,11
496.0,232,2240,40,3,4,4,344,11
497.0,624,10,10,1,1,1,111,3
499.0,526,1520,30,1,3,3,133,7
500.0,204,70,20,3,2,1,321,6
503.0,92,5940,40,4,4,4,444,12
504.0,85,1520,50,4,4,3,443,11
505.0,449,460,40,2,4,2,242,8
506.0,323,2450,30,2,3,4,234,9
507.0,288,11210,30,2,3,4,234,9
508.0,743,490,20,1,2,2,122,5
509.0,246,40,10,3,1,1,311,5
510.0,43,810,30,4,3,3,433,10
511.0,820,910,20,1,2,3,123,6
512.0,8,3060,50,4,4,4,444,12
513.0,57,520,30,4,3,2,432,9
514.0,225,1340,50,3,4,3,343,10
515.0,365,590,20,2,2,2,222,6
516.0,120,3860,60,3,4,4,344,11
517.0,120,60,10,3,1,1,311,5
518.0,253,90,10,3,1,1,311,5
519.0,848,160,10,1,1,1,111,3
520.0,176,1800,50,3,4,4,344,11
521.0,561,950,20,1,2,3,123,6
522.0,645,570,20,1,2,2,122,5
523.0,43,5380,40,4,4,4,444,12
524.0,71,1670,40,4,4,3,443,11
525.0,463,400,10,2,1,2,212,5
526.0,470,320,10,2,1,2,212,5
527.0,456,2820,20,2,2,4,224,8
528.0,260,210,20,3,2,1,321,6
529.0,365,1600,10,2,1,3,213,6
530.0,1,3600,50,4,4,4,444,12
531.0,351,5040,30,2,3,4,234,9
532.0,22,1530,20,4,2,3,423,9
533.0,715,100,10,1,1,1,111,3
534.0,211,2850,40,3,4,4,344,11
535.0,295,710,30,2,3,2,232,7
536.0,15,1310,30,4,3,3,433,10
537.0,785,10,10,1,1,1,111,3
538.0,1,350,20,4,2,2,422,8
539.0,596,850,20,1,2,3,123,6
540.0,519,1910,30,1,3,4,134,8
541.0,92,3110,30,4,3,4,434,11
542.0,99,270,20,4,2,2,422,8
543.0,379,1380,30,2,3,3,233,8
544.0,323,400,10,2,1,2,212,5
545.0,99,270,30,4,3,2,432,9
546.0,337,1360,30,2,3,3,233,8
547.0,260,140,20,3,2,1,321,6
549.0,148,250,30,3,3,1,331,7
550.0,211,3380,50,3,4,4,344,11
551.0,29,370,40,4,4,2,442,10
552.0,50,3520,40,4,4,4,444,12
553.0,1,17270,50,4,4,4,444,12
554.0,260,2000,20,3,2,4,324,9
556.0,162,1610,30,3,3,3,333,9
557.0,99,3310,20,4,2,4,424,10
558.0,190,2070,40,3,4,4,344,11
559.0,106,40,10,4,1,1,411,6
560.0,29,6450,50,4,4,4,444,12
561.0,568,960,20,1,2,3,123,6
562.0,225,1930,20,3,2,4,324,9
564.0,379,150,20,2,2,1,221,5
565.0,127,2490,50,3,4,4,344,11
566.0,631,730,20,1,2,2,122,5
567.0,757,570,10,1,1,2,112,4
568.0,29,560,20,4,2,2,422,8
569.0,414,300,10,2,1,2,212,5
570.0,204,1150,10,3,1,3,313,7
571.0,498,2970,30,1,3,4,134,8
572.0,582,50,10,1,1,1,111,3
573.0,253,820,40,3,4,3,343,10
574.0,449,3700,50,2,4,4,244,10
575.0,449,200,10,2,1,1,211,4
576.0,106,350,10,4,1,2,412,7
577.0,351,2540,30,2,3,4,234,9
579.0,197,1380,50,3,4,3,343,10
580.0,71,1330,30,4,3,3,433,10
581.0,225,5290,40,3,4,4,344,11
583.0,120,1650,40,3,4,3,343,10
584.0,113,120,10,3,1,1,311,5
585.0,337,1220,20,2,2,3,223,7
586.0,120,620,30,3,3,2,332,8
587.0,43,440,40,4,4,2,442,10
588.0,260,250,10,3,1,1,311,5
589.0,29,1780,20,4,2,4,424,10
590.0,141,1100,40,3,4,3,343,10
591.0,596,70,10,1,1,1,111,3
592.0,372,840,40,2,4,3,243,9
593.0,169,3750,40,3,4,4,344,11
594.0,617,10,10,1,1,1,111,3
595.0,379,380,20,2,2,2,222,6
596.0,253,3750,20,3,2,4,324,9
597.0,799,50,10,1,1,1,111,3
598.0,127,570,30,3,3,2,332,8
599.0,680,570,20,1,2,2,122,5
600.0,190,1260,30,3,3,3,333,9
602.0,757,260,20,1,2,1,121,4
603.0,92,960,20,4,2,3,423,9
605.0,757,620,10,1,1,2,112,4
606.0,71,1640,40,4,4,3,443,11
608.0,736,90,10,1,1,1,111,3
609.0,8,940,40,4,4,3,443,11
610.0,15,2110,30,4,3,4,434,11
611.0,554,8350,30,1,3,4,134,8
612.0,127,4430,40,3,4,4,344,11
613.0,204,980,30,3,3,3,333,9
614.0,330,1120,20,2,2,3,223,7
615.0,428,4430,20,2,2,4,224,8
616.0,351,2570,10,2,1,4,214,7
617.0,295,580,20,2,2,2,222,6
618.0,57,5960,30,4,3,4,434,11
619.0,568,890,30,1,3,3,133,7
620.0,22,630,20,4,2,2,422,8
622.0,414,40,10,2,1,1,211,4
623.0,785,1140,10,1,1,3,113,5
624.0,281,1840,40,2,4,4,244,10
625.0,337,30,10,2,1,1,211,4
626.0,43,1920,40,4,4,4,444,12
628.0,610,60,10,1,1,1,111,3
630.0,470,1440,10,2,1,3,213,6
631.0,15,1870,40,4,4,4,444,12
632.0,253,160,10,3,1,1,311,5
633.0,617,680,10,1,1,2,112,4
634.0,155,2990,30,3,3,4,334,10
636.0,134,1750,20,3,2,4,324,9
637.0,15,670,30,4,3,2,432,9
638.0,603,810,20,1,2,3,123,6
639.0,218,3760,50,3,4,4,344,11
640.0,470,110,10,2,1,1,211,4
641.0,288,1640,40,2,4,3,243,9
642.0,15,4250,40,4,4,4,444,12
643.0,71,1140,20,4,2,3,423,9
644.0,106,80,10,4,1,1,411,6
645.0,127,740,20,3,2,3,323,8
646.0,64,2160,40,4,4,4,444,12
647.0,197,670,10,3,1,2,312,6
648.0,8,4730,70,4,4,4,444,12
649.0,197,290,30,3,3,2,332,8
650.0,435,4160,20,2,2,4,224,8
651.0,22,1550,40,4,4,3,443,11
652.0,85,1250,30,4,3,3,433,10
653.0,15,2780,30,4,3,4,434,11
654.0,155,2090,60,3,4,4,344,11
655.0,323,430,10,2,1,2,212,5
656.0,176,110,10,3,1,1,311,5
657.0,428,650,30,2,3,2,232,7
658.0,57,1050,30,4,3,3,433,10
659.0,162,1150,40,3,4,3,343,10
660.0,169,730,30,3,3,2,332,8
661.0,274,3860,20,2,2,4,224,8
662.0,22,2210,20,4,2,4,424,10
663.0,190,340,10,3,1,2,312,6
664.0,15,2520,40,4,4,4,444,12
665.0,29,1410,30,4,3,3,433,10
666.0,99,2260,40,4,4,4,444,12
667.0,141,800,30,3,3,3,333,9
668.0,435,1080,20,2,2,3,223,7
669.0,694,240,10,1,1,1,111,3
670.0,253,330,30,3,3,2,332,8
671.0,260,2420,30,3,3,4,334,10
672.0,323,1120,30,2,3,3,233,8
673.0,841,110,10,1,1,1,111,3
674.0,134,2050,40,3,4,4,344,11
675.0,589,5630,20,1,2,4,124,7
676.0,260,5480,20,3,2,4,324,9
677.0,99,30,10,4,1,1,411,6
678.0,127,1440,30,3,3,3,333,9
679.0,414,3060,30,2,3,4,234,9
680.0,750,470,20,1,2,2,122,5
681.0,106,7110,30,4,3,4,434,11
682.0,190,180,10,3,1,1,311,5
683.0,512,660,20,1,2,2,122,5
684.0,8,180,20,4,2,1,421,7
685.0,190,2110,50,3,4,4,344,11
686.0,302,5330,50,2,4,4,244,10
687.0,148,110,10,3,1,1,311,5
688.0,680,320,20,1,2,2,122,5
689.0,8,3970,50,4,4,4,444,12
690.0,743,360,10,1,1,2,112,4
691.0,302,1620,30,2,3,3,233,8
692.0,78,110,20,4,2,1,421,7
693.0,260,2400,30,3,3,4,334,10
694.0,771,150,10,1,1,1,111,3
695.0,15,4390,60,4,4,4,444,12
696.0,526,1940,30,1,3,4,134,8
697.0,169,110,10,3,1,1,311,5
698.0,120,450,30,3,3,2,332,8
699.0,78,650,40,4,4,2,442,10
701.0,848,100,10,1,1,1,111,3
702.0,421,820,30,2,3,3,233,8
703.0,372,2050,30,2,3,4,234,9
704.0,386,880,10,2,1,3,213,6
705.0,1,850,50,4,4,3,443,11
706.0,344,1980,30,2,3,4,234,9
708.0,204,2240,40,3,4,4,344,11
711.0,190,200,10,3,1,1,311,5
712.0,309,2920,50,2,4,4,244,10
713.0,127,820,30,3,3,3,333,9
714.0,8,1580,20,4,2,3,423,9
715.0,106,1190,50,4,4,3,443,11
716.0,792,1730,10,1,1,4,114,6
717.0,225,4220,30,3,3,4,334,10
718.0,148,950,30,3,3,3,333,9
719.0,848,120,10,1,1,1,111,3
721.0,43,2960,60,4,4,4,444,12
722.0,232,1090,40,3,4,3,343,10
723.0,120,1630,40,3,4,3,343,10
725.0,596,20,10,1,1,1,111,3
726.0,505,140,20,1,2,1,121,4
727.0,127,8170,60,3,4,4,344,11
728.0,64,1570,30,4,3,3,433,10
729.0,64,480,20,4,2,2,422,8
730.0,561,1750,20,1,2,4,124,7
731.0,610,390,20,1,2,2,122,5
733.0,694,1020,20,1,2,3,123,6
734.0,463,540,20,2,2,2,222,6
735.0,127,600,40,3,4,2,342,9
736.0,624,40,10,1,1,1,111,3
737.0,155,970,30,3,3,3,333,9
738.0,29,450,20,4,2,2,422,8
