track_name,track_uri,album_name,artist_name,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
I Need A Doctor,1aUT4xl8iiYNr6emik4qTB,I Need A Doctor,Dr. Dre,2011-02-01,283733,0,0.103,0.587,0.931,1.16e-06,0.346,-4.426,0.467,155.964,4
"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",3A2OHirUAlQp2x73BJlEDA,Ransom 2,Mike WiLL Made-It,2017-03-24,240926,57,0.172,0.741,0.562,0.0,0.0751,-5.474,0.165,180.068,4
Ni**as In Paris,2KpCpk6HjXXLb7nnXoXA5O,Top Five (Music From And Inspired By The Motion Picture),Various Artists,2014-12-09,219320,56,0.0763,0.757,0.882,0.0,0.251,-6.125,0.248,140.047,4
Stronger,6C7RJEIUDqKkJRZVWdkfkH,Graduation,Kanye West,2007-09-11,311866,0,0.00728,0.625,0.726,0.0,0.318,-7.731,0.155,103.98,4
Champions,2nBI3iWLhupR7LyAJ5GGkE,Champions,Various Artists,2016-06-10,334253,66,0.0623,0.692,0.774,0.0,0.873,-2.48,0.0876,134.952,4
Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,The Life Of Pablo,Kanye West,2016-06-10,135920,82,0.118,0.724,0.573,0.0,0.538,-4.113,0.0549,113.088,4
Pt. 2,1Wsbr1d2BouNGk2q92mIj7,The Life Of Pablo,Kanye West,2016-06-10,130293,67,0.552,0.674,0.752,0.0,0.787,-4.073,0.333,145.076,4
Barry Bonds,7kXINLuqpicfE1sDCZ3Xwv,Graduation,Kanye West,2007-09-11,204306,0,0.0452,0.475,0.613,0.0,0.294,-6.217,0.382,166.755,4
The Glory,39cpcnobaB8FdedVjHjXP2,Graduation,Kanye West,2007-09-11,212706,0,0.044,0.402,0.639,0.0,0.229,-7.087,0.301,83.213,4
Jesus Walks,79ek2oolIYyGUO4aVK5IY2,The College Dropout (Explicit),Kanye West,2004-01-01,193733,0,0.614,0.637,0.834,0.0,0.317,-4.686,0.323,87.312,4
Numb / Encore,5sNESr6pQfIhL3krM8CtZn,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,JAY-Z,2004-11-30,205733,77,0.0603,0.687,0.793,0.0,0.582,-4.254,0.166,107.045,4
Faneto,6l4qV9VNeCOesvcLPJMO9y,Chiraq Villian,Chief Keef,2014-11-18,206654,0,0.346,0.849,0.755,0.0,0.0564,-7.399,0.363,144.186,4
Look At Me!,7floNISpH8VF4z4459Qo18,Look At Me!,XXXTENTACION,2017-02-20,126345,81,0.259,0.763,0.726,0.0,0.0976,-6.405,0.282,139.059,4
Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,17,XXXTENTACION,2017-08-25,120026,86,0.782,0.746,0.251,0.00203,0.106,-16.169,0.259,139.999,4
Gospel,7uuBfgY1vBCalrQRyyQhqs,Gospel,Rich Brian,2017-05-12,173294,0,0.000856,0.681,0.659,8.17e-06,0.11,-6.405,0.268,156.004,4
I Don't Wanna Do This Anymore,1HLCN534JKZNojcDgbYTVb,Revenge,XXXTENTACION,2017-05-16,87560,0,0.843,0.433,0.778,0.0,0.139,-7.681,0.041,114.208,4
RIP Roach,46E3eNxGbmO84BpDeA2UBN,Revenge,XXXTENTACION,2017-05-16,169978,0,0.398,0.727,0.62,0.0,0.0926,-6.443,0.306,105.003,4
Take A Step Back,3xFqnmy3DltBMTOQVL2xvS,Take A Step Back,Ski Mask The Slump God,2017-05-19,210387,0,0.104,0.808,0.581,0.0,0.379,-8.793,0.269,116.988,4
One Night,40yJGQyEaBbIkXpwMFkXip,Lil Boat,Lil Yachty,2016-07-05,243269,66,0.345,0.764,0.475,0.0,0.14,-12.618,0.114,129.974,4
Like A Star,3lyws9gtzp9ZPbTcQOfZkl,Teenage Emotions,Lil Yachty,2017-05-26,223085,37,0.686,0.641,0.258,2.58e-05,0.116,-13.857,0.185,140.031,4
Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,The Bigger Artist,A Boogie Wit da Hoodie,2017-09-29,209269,78,0.501,0.839,0.81,0.0,0.117,-5.274,0.0568,129.014,4
My Shit,5uQOauh47VFt3B2kV9kRXw,Artist,A Boogie Wit da Hoodie,2016-09-16,128156,77,0.244,0.812,0.621,0.0,0.099,-8.3,0.0515,77.998,4
Portland,2bjwRfXMk4uRgOD9IBYl9h,More Life,Drake,2017-03-18,236614,71,0.0172,0.925,0.443,0.0,0.276,-8.216,0.264,136.078,4
Passionfruit,7hDc8b7IXETo14hHIHdnhd,More Life,Drake,2017-03-18,298940,0,0.256,0.809,0.463,0.085,0.109,-11.377,0.0396,111.98,4
Jumpman,27GmP9AWRs744SzKcpJsTZ,What A Time To Be Alive,Drake,2015-09-20,205879,72,0.0559,0.852,0.553,0.0,0.332,-7.286,0.187,142.079,4
Fake Love,343YBumqHu19cGoGARUTsd,More Life,Drake,2017-03-18,210937,74,0.105,0.928,0.481,0.0,0.176,-9.35,0.287,134.007,4
Blem,2XlHu0HcujBCkWMdIAvrqt,More Life,Drake,2017-03-18,216557,64,0.0533,0.726,0.535,1.38e-05,0.0984,-7.804,0.0476,98.067,4
Energy,79XrkTOfV1AqySNjVlygpW,If You're Reading This It's Too Late,Drake,2015-02-12,181933,71,0.38,0.747,0.571,0.0,0.534,-7.916,0.478,172.104,4
0 To 100 / The Catch Up,4jtyUzZm9WLc2AdaJ1dso7,0 To 100 / The Catch Up,Drake,2013-07-14,275226,71,0.737,0.559,0.716,0.0,0.252,-3.964,0.39,176.618,4
Juke Jam (feat. Justin Bieber & Towkio),3eze1OsZ1rqeXkKStNfTmi,Coloring Book,Chance the Rapper,2016-05-27,219683,63,0.716,0.505,0.397,0.0,0.0853,-9.349,0.324,95.063,1
All We Got (feat. Kanye West & Chicago Children's Choir),3ZLyt2ndLFBh148XRYjYYZ,Coloring Book,Chance the Rapper,2016-05-27,203794,58,0.308,0.531,0.544,1.89e-06,0.0835,-8.615,0.462,131.921,4
Slippery (feat. Gucci Mane),6p8NuHm8uCGnn2Dtbtf7zE,Culture,Migos,2017-04-07,304041,18,0.307,0.92,0.675,0.0,0.104,-5.661,0.263,141.967,4
T-Shirt,7KOlJ92bu51cltsD9KU5I7,Culture,Migos,2017-04-07,242407,15,0.242,0.865,0.687,0.0,0.158,-3.744,0.217,139.023,4
Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR,Culture,Migos,2017-04-07,343150,22,0.0611,0.926,0.666,0.0,0.123,-5.314,0.244,127.079,4
Swang,6mapJIPnQ23RTAevUoE0DL,SremmLife 2 (Deluxe),Rae Sremmurd,2016-08-12,208120,76,0.2,0.681,0.314,9.82e-06,0.1,-9.319,0.0581,139.992,4
Come Get Her,1Ser4X0TKttOvo8bgdytTP,SremmLife,Rae Sremmurd,2015-01-06,212946,75,0.187,0.689,0.564,0.0,0.0721,-6.226,0.136,185.023,4
This Could Be Us,4jTiyLlOJVJj3mCr7yfPQD,SremmLife,Rae Sremmurd,2015-01-06,206306,78,0.291,0.732,0.69,0.0,0.116,-4.992,0.134,143.072,4
Can't Tell Me Nothing,4ImL3v98u2BLkwnyQDjfRm,Graduation,Kanye West,2007-09-11,271600,1,0.0121,0.594,0.614,0.0,0.823,-6.091,0.0536,79.968,4
Welcome to the Booty Tape,03Mradtcg4Il4gUQJ9LC9V,The Booty Tape,Ugly God,2017-08-04,141641,41,0.48,0.557,0.312,3.95e-05,0.124,-15.003,0.277,89.484,5
I'm a Nasty Hoe,2VGNV3fdVW5gdd4j2wYSU8,The Booty Tape,Ugly God,2017-08-04,179908,45,0.375,0.8,0.276,0.0,0.0699,-15.301,0.091,115.019,4
Fuck Ugly God,6IgtGf4ZmG3OPLmE1PFXrr,The Booty Tape,Ugly God,2017-08-04,128669,44,0.242,0.878,0.233,0.0,0.0817,-11.311,0.603,134.956,4
Bitch!,3vtoVqw8chHlWJLkLROfgV,The Booty Tape,Ugly God,2017-08-04,140062,40,0.16,0.828,0.301,0.0,0.0864,-12.374,0.246,144.998,4
Like a Maverick,6W8MHmGJEWn5raJ6JYLLxC,The Booty Tape,Ugly God,2017-08-04,170155,41,0.434,0.882,0.308,2.62e-06,0.121,-13.485,0.267,131.032,4
do re mi,3Q3myFA7q4Op95DOpHplaY,digital druglord,blackbear,2017-04-21,212027,3,0.00522,0.745,0.593,5.25e-06,0.123,-6.35,0.0526,111.002,3
Silence,7vGuf3Y35N4wmASOKLUVVU,Silence,Marshmello,2017-08-11,180822,81,0.256,0.52,0.761,4.96e-06,0.17,-3.093,0.0853,141.971,4
Nothing 2 Lose,3Y50039OrE23aLLh8tHHYZ,Nothing 2 Lose,KYLE,2017-06-15,225398,39,0.0794,0.734,0.664,2.12e-06,0.158,-5.693,0.242,156.04,4
A$AP Ferg,4EbULzyWMuFx94aoIY1MlJ,Perfect Timing,NAV,2017-07-21,257493,53,0.169,0.58,0.407,0.0,0.082,-8.804,0.43,140.023,4
Ghetto Symphony (feat. Gunplay & A$AP Ferg),57pOLYHz6mt5aMkOXa2Gis,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,2013,237733,61,0.288,0.49,0.921,0.0,0.482,-3.373,0.437,150.514,4
Roll in Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,Project Baby 2: All Grown Up,Kodak Black,2017-08-18,213132,73,0.0306,0.747,0.524,0.0,0.2,-6.807,0.245,140.053,4
X,5tRmoZRoupvMYPV1oezFrH,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,173797,56,0.0043,0.623,0.58,0.0,0.394,-7.076,0.332,163.159,4
UnFazed (feat. The Weeknd),5O8x1YlmLQopQHErxtDfi9,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,190355,58,0.0459,0.778,0.707,0.0,0.111,-3.606,0.0746,126.684,4
Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,17,XXXTENTACION,2017-08-25,119133,84,0.469,0.872,0.391,4.13e-06,0.297,-9.144,0.242,134.021,4
The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,221746,80,0.617,0.703,0.757,0.0,0.106,-3.612,0.05,82.008,4
Sauce It Up,1uL78kFWxhz3umTMWJu8n5,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,207038,67,0.0715,0.813,0.528,0.0,0.125,-6.305,0.313,79.532,4
Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,17,XXXTENTACION,2017-08-25,95466,84,0.847,0.734,0.57,2.14e-05,0.112,-7.066,0.133,129.953,4
Carry On,2yZax79pOrYuyIFVW2cZY2,17,XXXTENTACION,2017-08-25,129720,75,0.768,0.735,0.197,0.000276,0.296,-13.378,0.537,147.899,4
444+222,1QgTBfRN5m81a5K01qens6,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,247347,60,0.0235,0.791,0.513,2.83e-05,0.101,-6.568,0.269,76.997,4
Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,17,XXXTENTACION,2017-08-25,146520,82,0.0172,0.797,0.533,0.000152,0.103,-9.74,0.0412,131.036,4
Orlando,05bnEv2dpFzmGVLGdjD9UP,17,XXXTENTACION,2017-08-25,163840,63,0.859,0.57,0.0279,0.0892,0.254,-22.282,0.0588,84.902,4
Famous,6g0TAJ1grweRwBMLQyiZFb,Issa Album,21 Savage,2017-09-23,234280,3,0.723,0.779,0.597,4.47e-05,0.0508,-9.652,0.434,173.986,4
Catch Me Outside,5kmOA4GG5o3lg7kaFPDfc8,Catch Me Outside,Ski Mask The Slump God,2017-08-25,145786,0,0.159,0.939,0.659,0.0,0.276,-6.124,0.249,111.999,4
rockstar,7wGoVu4Dady5GV0Sv4UIsx,rockstar,Post Malone,2017-09-15,218320,0,0.13,0.577,0.522,9.03e-05,0.142,-6.594,0.0984,159.772,4
Off the Wall!,0GRmh4ZlobfhvDE9L4CbOs,"XXXTENTACION Presents: Members Only, Vol. 3",XXXTENTACION,2017-07-14,203493,64,0.123,0.834,0.374,0.0,0.134,-10.173,0.333,140.001,4
H2O,1j6CwAJS2PTMvDYp33zpWP,"XXXTENTACION Presents: Members Only, Vol. 3",XXXTENTACION,2017-07-14,139253,53,0.394,0.717,0.608,0.0,0.351,-7.826,0.31,139.783,4
No Flockin',34oWbFBfGEElvgO0a5c9V4,No Flockin',Kodak Black,2015-11-13,165290,73,0.0673,0.943,0.595,0.0,0.0839,-8.372,0.191,117.532,4
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,Stoney (Deluxe),Post Malone,2016-12-09,223346,79,0.0689,0.556,0.538,0.0,0.196,-5.408,0.0382,143.95,4
Go Flex,5yuShbu70mtHXY0yLzCQLQ,Stoney (Deluxe),Post Malone,2016-12-09,179613,78,0.228,0.665,0.498,0.0,0.0757,-8.185,0.0832,81.967,4
Basket Case - From ‘The Tick’ TV Series,2XbPIycgx6OkOXQ9IHbbmL,Basket Case (From ‘The Tick’ TV Series),Bastille,2017-08-18,153548,0,0.412,0.593,0.58,0.0,0.0996,-5.681,0.0913,77.483,4
Roll in Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,Project Baby 2: All Grown Up,Kodak Black,2017-08-18,213132,73,0.0306,0.747,0.524,0.0,0.2,-6.807,0.245,140.053,4
BabyWipe,4cXe7l3Y5Wv2ZMGDOsxfyX,You Will Regret,Ski Mask The Slump God,2017-06-30,168640,0,0.0261,0.886,0.516,0.0,0.375,-8.377,0.263,148.055,4
Plain Jane,4dVpf9jZjcORqGTLUaeYj9,Still Striving,A$AP Ferg,2017-08-18,173600,74,0.0651,0.797,0.844,0.0,0.087,-5.482,0.275,170.142,4
Imperium,6pHy2rK10qpECaY0R3YUoe,Adventure,Madeon,2015-03-24,198853,18,0.000122,0.647,0.946,0.0355,0.158,-1.72,0.0767,110.017,4
Divinity,60vkPCkZrYUQLRFK4EQwuA,Worlds,Porter Robinson,2014-08-08,368373,0,0.00712,0.492,0.556,0.0246,0.0804,-5.426,0.0348,90.005,4
Let You Go - Radio Edit,2Mh0jU5IyRTQfpyMnvki5Z,Let You Go (Radio Edit),The Chainsmokers,2015-03-03,218973,54,0.27,0.598,0.882,0.0,0.0793,-2.894,0.0954,125.979,4
Do It Again,1PTqbs9FV8hSJCS7OOF5OC,Do It Again,Pia Mia,2015-05-04,207746,0,0.0298,0.713,0.552,0.0,0.0879,-6.526,0.0499,95.961,4
bodyache,2DopRU3QWz4CWymUUrKvO4,another eternity,Purity Ring,2015-03-02,173213,0,0.145,0.646,0.657,5.7e-05,0.459,-5.3,0.0628,139.99,4
Live This Nightmare - NGHTMRE Remix,3SJv9Gmnq6VXM9xNITfIw1,Live This Nightmare (NGHTMRE Remix),The Griswolds,2015-01-06,222857,51,0.025,0.607,0.811,5.09e-06,0.177,-6.106,0.0384,139.964,4
GDFR (feat. Sage the Gemini & Lookas),26rdOwwjC2UnweK3xeS58u,My House,Flo Rida,2015-04-07,190185,70,0.000704,0.657,0.827,0.00534,0.065,-4.036,0.0734,145.889,4
Ignition / Do You... (Mashup),4qZPdHRnZ7jwqg4peT2n9A,Mine EP,Phoebe Ryan,2015-06-09,227400,0,0.484,0.559,0.621,3.42e-05,0.0981,-8.241,0.0285,135.022,4
Best Day Of My Life - Just A Gent Remix,4MH4LJMoRUSl0uEzoNQ0Mo,Best Day Of My Life (Just A Gent Remix),American Authors,2014-01-01,292773,32,0.358,0.785,0.736,0.0603,0.114,-2.969,0.0488,99.994,4
My House,6Knv6wdA0luoMUuuoYi2i1,My House,Flo Rida,2015-04-07,192190,77,0.0215,0.688,0.702,0.0,0.128,-4.792,0.0499,94.006,4
Obvs,50Dfp4PZQqvXLlniASKpTY,In Colour,Jamie xx,2015-06-01,231039,0,0.858,0.633,0.393,0.925,0.0817,-12.603,0.0393,152.044,4
Best Day Of My Life - Gazzo Remix,1eiXLANaZCSKIfDmwTorg5,Best Day Of My Life (Gazzo Remix),American Authors,2014-01-01,197760,0,0.0121,0.632,0.966,0.000935,0.253,-1.562,0.0812,124.999,4
You're On (feat. Kyan),1Z1ziaHJ4FWNqrw14GVDI5,Adventure,Madeon,2015-03-24,192720,31,0.0227,0.49,0.914,0.0,0.793,-3.202,0.167,100.1,4
I Love It When You Cry (Moxoki) - Radio Edit,6vscP7Fweq7fwosyliwjRq,Neon Future II,Steve Aoki,2015-05-11,191652,50,0.0246,0.639,0.795,0.000324,0.509,-3.535,0.0416,128.013,4
Alive,7bJUkF96TYazaRp8ZH3Ars,Get Wet,Krewella,2012,288880,22,0.00304,0.671,0.827,0.00285,0.35,-2.907,0.0531,127.98,4
Pompeii - Audien Remix,27EyhYktLIgAOW6IkygTqL,Pompeii (Audien Remix),Bastille,2014-01-01,352968,0,0.00352,0.649,0.788,3.54e-05,0.103,-3.499,0.0418,128.018,4
Trumpsta - Djuro Remix,0e9bLw658CErvV0g3byHHR,Trumpsta (Remixes),Contiez,2013-11-08,258519,29,0.00214,0.973,0.588,0.368,0.257,-7.014,0.241,128.007,4
Sleepless,458gevlvVGu3MHNwiXmh3f,Flume,Flume,2012-12-21,209376,0,0.0335,0.53,0.688,4.91e-05,0.0886,-7.482,0.169,175.13,4
You & Me - Flume Remix,1snNAXmmPXCn0dkF9DaPWw,Settle (The Remixes),Disclosure,2013-06-11,282812,67,0.382,0.593,0.392,0.000114,0.131,-6.872,0.0257,75.065,4
A Little Party Never Killed Nobody (All We Got),36482hNESSwELpr9sS3NbE,Music From Baz Luhrmann's Film The Great Gatsby (International Streaming Version),Various Artists,2013-01-01,241306,62,0.00959,0.761,0.619,3.18e-06,0.0896,-5.741,0.175,129.998,4
Dance (A$$),67W5fd1ld7dqHNCfaQu52I,Finally Famous,Big Sean,2011-01-01,197760,47,0.02,0.765,0.695,0.0437,0.13,-6.57,0.342,159.865,4
Heroes (we could be),6WQLkih8nE0JdUCEyLaGnQ,Forever,Alesso,2015-05-22,210012,0,0.0362,0.5,0.726,0.0,0.441,-4.124,0.0643,125.904,4
Electric Glow - Radio Edit,4kdJ3ZIh4agYeUtpS6G96f,WMC Vocal Anthems 2014,Various Artists,2014-04-07,275624,34,0.093,0.479,0.85,0.000454,0.257,-4.562,0.0524,127.981,4
"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,When It's Dark Out,G-Eazy,2015-12-04,251466,78,0.0184,0.756,0.674,0.0,0.158,-6.518,0.0959,111.995,4
Hide Away,4Z3qm2aWGTJuJKnv3EWwyD,"Sit Still, Look Pretty",Daya,2017-01-06,192386,45,0.218,0.886,0.818,3.46e-06,0.0687,-3.649,0.0843,95.05,4
Light It Up (feat. Nyla & Fuse ODG) - Remix,0L7loeTIg6akW84aEQZpCT,Peace Is The Mission: Extended,Major Lazer,2015-06-01,166138,0,0.0375,0.746,0.877,0.000833,0.233,-3.782,0.0666,107.985,4
Here,1wYZZtamWTQAoj8B812uKQ,Know-It-All (Deluxe),Alessia Cara,2015-11-13,199453,11,0.0785,0.376,0.821,0.0,0.0823,-3.974,0.104,120.462,4
Antidote,1wHZx0LgzFHyeIZkUydNXq,Rodeo (Expanded Edition),Travis Scott,2015-09-04,262693,73,0.00767,0.713,0.526,0.000148,0.124,-5.046,0.032,131.05,4
I'm Up (feat. Kid Ink & French Montana),1hlwA8qvXx0Bl6iYuDbIuD,I'm Up (feat. Kid Ink & French Montana),Omarion,2015-06-18,201336,51,0.204,0.793,0.505,0.0,0.0413,-7.061,0.138,97.998,4
I Took A Pill In Ibiza - Seeb Remix,17Fd6Yb7mSbinKG8LoWfFl,"At Night, Alone.",Mike Posner,2016-05-06,197933,0,0.0353,0.663,0.713,7.68e-06,0.0843,-6.647,0.112,101.965,4
Spectrum,1dFkD1JfRMzwO6hwUsE8aS,Clarity,Zedd,2012-01-01,243413,60,0.0137,0.609,0.801,0.00349,0.127,-4.417,0.034,129.99,4
Find You,7mazffu6nlIv0rtRyPDMTD,Clarity (Deluxe),Zedd,2014-01-01,204346,53,0.0227,0.53,0.783,2.11e-06,0.0987,-4.61,0.0388,127.971,4
Wasted On You,4Qt4z5raRM4riRPtU55uAs,Wasted On You,Louis Futon,2016-02-12,224120,0,0.185,0.662,0.848,0.00572,0.132,-4.304,0.261,88.999,4
Dynamite,2CEgGE6aESpnmtfiZwYlbV,The Rokstarr Hits Collection,Taio Cruz,2010-01-01,202613,80,0.00379,0.751,0.783,0.0,0.036,-3.724,0.0859,119.975,4
Island Girl (feat. Diction),13VklbqHOdZLaxsJZV3Wce,Tous Les Tubes Zouk,Various Artists,2012-10-22,221333,0,0.0325,0.565,0.796,0.0,0.0902,-6.678,0.0913,168.122,4
Reality (feat. Janieck Devy) - Radio Edit,0cOBMETjhxublnnwhbnzJO,Less Is More,Lost Frequencies,2016-10-21,159480,64,0.0197,0.714,0.697,2e-06,0.0697,-7.887,0.032,122.145,4
Stole the Show,5masKPHeAOVNgxdLebIcK7,Cloud Nine,Kygo,2016-05-13,223186,75,0.271,0.64,0.635,0.0,0.319,-7.565,0.226,100.034,4
Heads Will Roll - A-Trak Remix,64zjna5dIuO7s9FCDXQMmI,Heads Will Roll (A-Trak Remix),Yeah Yeah Yeahs,2009-01-01,383893,0,0.00743,0.738,0.607,0.315,0.0701,-3.933,0.0845,131.983,4
Shots - Broiler Remix,0z8yrlXSjnI29Rv30RssNI,Smoke + Mirrors (Deluxe),Imagine Dragons,2015-05-11,190999,0,0.436,0.733,0.777,0.0716,0.102,-7.076,0.0347,119.996,4
So Good,28GUjBGqZVcAV4PHSYzkj2,Strange Clouds,B.o.B,2012-04-27,213253,64,0.0403,0.66,0.9,0.0,0.219,-5.02,0.14,85.51,4
Eyes (feat. Mindy Gledhill),1N7uFZzPs0XzCgu9bOzM0G,Fire & Ice,Kaskade,2011,315253,0,0.00179,0.584,0.552,0.146,0.0692,-7.967,0.0445,128.025,4
Cash Machine,6GG2tkV9PRYGN5rniXPFXZ,Big Baby DRAM,DRAM,2016-10-21,181154,42,0.522,0.745,0.669,0.0,0.154,-3.613,0.129,143.164,4
Broccoli (feat. Lil Yachty),7yyRTcZmCiyzzJlNzGC9Ol,Big Baby DRAM,DRAM,2016-10-21,225205,62,0.236,0.886,0.525,0.0,0.057,-7.39,0.131,145.99,4
Had Some Drinks,2ap1x3VLFXzeVRDl14PYsM,Had Some Drinks,Two Feet,2017-05-19,140973,0,0.14,0.825,0.304,0.000498,0.147,-11.597,0.101,84.927,4
Bora Bora - Seaside Edit,3WsqxzFAxXhLyzqMCrsUjT,Bora Bora (Seaside Edit),Beltek,2015-05-11,290557,0,0.000678,0.65,0.947,0.85,0.0546,-4.971,0.0375,120.011,4
Nobody To Blame,4WRRCuJYRq7gUKiupxVH9W,Traveller,Chris Stapleton,2015-05-04,244146,64,0.0143,0.534,0.666,0.0615,0.113,-9.471,0.0335,87.401,4
It All Started With a Beer - Single Version,3qtZwBkPpK2Q8fcYRHm4AX,It All Started with a Beer,Frankie Ballard,2015-11-06,237800,51,0.405,0.541,0.505,0.0,0.131,-8.067,0.0254,74.004,4
Stay the Night,37C5IX9aM3qoPHeuuU7ByA,West of the Pines,Jordan Gray,2015-11-24,235051,28,0.0627,0.545,0.782,0.0,0.203,-4.657,0.0291,131.993,4
Let Me See Ya Girl,3y1t2sEahs8idFz2tiYNPO,Cole Swindell,Cole Swindell,2014-02-18,187586,57,0.254,0.523,0.834,0.0,0.393,-3.561,0.0281,92.99,4
Top Of The World,4pdoeoOQSu6DNznlfNc5FP,Damn Country Music,Tim McGraw,2015-01-01,233973,45,0.29,0.675,0.791,0.0,0.485,-5.64,0.0383,141.217,4
