0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
It's Beginning to Look a Lot Like Christmas,Johnny Mathis Gold: A 50th Anniversary Christmas Celebration,Johnny Mathis,1958,135040,0,0.826,0.636,0.409,5.67e-05,0.289,-11.562,0.0398,110.559,4
Santa Claus Is Coming To Town,Merry Christmas,The Jackson 5,1970-01-01,143773,22,0.271,0.682,0.577,0.000786,0.0796,-11.309,0.0352,147.331,4
Throw Some D,Gotti da Monsta - The EP,Sha Gotti,2017-04-10,255059,0,0.478,0.75,0.784,0.0,0.758,-7.3,0.394,160.109,4
Rolex,Rolex,Ayo & Teo,2017-03-15,238586,69,0.0837,0.804,0.886,0.0,0.266,-2.512,0.04,144.946,4
Up,Up,Desiigner,2017-04-04,235677,50,0.0222,0.911,0.632,4.67e-06,0.254,-7.567,0.427,144.018,4
Fight Night,No Label II,Migos,2014-06-03,216247,17,0.182,0.874,0.706,0.0,0.334,-5.132,0.207,89.961,4
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017-02-23,216408,76,0.075,0.696,0.817,0.0,0.187,-3.862,0.109,98.064,4
Drankin' Patna,Happy Hour: The Greatest Hits,T-Pain,2014,224906,44,0.0548,0.565,0.546,0.0,0.102,-6.336,0.211,173.812,4
You Be Killin Em,There Is No Competition 2: The Grieving Music Mixtape,Fabolous,2010-01-01,209693,57,0.444,0.664,0.909,0.0,0.525,-3.552,0.22,93.977,4
Bad and Boujee (feat. Lil Uzi Vert),Culture,Migos,2017-04-07,343150,22,0.0611,0.926,0.666,0.0,0.123,-5.314,0.244,127.079,4
Really Really,Islah (Deluxe),Kevin Gates,2016-01-29,232093,69,0.00427,0.762,0.666,0.0,0.127,-6.055,0.0916,118.97,4
Bounce Back,I Decided.,Big Sean,2017-02-03,222360,70,0.106,0.78,0.575,0.0,0.129,-5.628,0.139,81.502,4
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,84,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,4
Caroline,Good For You,Aminé,2017-07-28,209640,73,0.17,0.94,0.335,0.0,0.262,-10.179,0.505,120.04,4
Start It Up,H.F.M. 2 (Hunger For More 2),Lloyd Banks,2010-01-01,289520,49,0.0935,0.446,0.87,0.0,0.437,-4.683,0.318,161.79,4
Pass Out,Disc-Overy,Tinie Tempah,2010,268053,60,0.0281,0.693,0.891,0.0,0.143,-3.261,0.296,91.1,4
Ni**as In Paris,Top Five (Music From And Inspired By The Motion Picture),Various Artists,2014-12-09,219320,56,0.0763,0.757,0.882,0.0,0.251,-6.125,0.248,140.047,4
The Motto,Take Care (Deluxe),Drake,2011-11-15,181573,74,0.000107,0.766,0.442,6.12e-05,0.111,-8.558,0.356,201.8,4
Panda,New English,Desiigner,2016-06-26,246761,0,0.028,0.576,0.766,1.68e-06,0.366,-4.943,0.449,144.833,4
Swimming Pools (Drank),Swimming Pools (Drank),Kendrick Lamar,2012-01-01,247800,78,0.00627,0.577,0.447,0.00022,0.0899,-5.892,0.277,74.236,4
My Nigga,My Krazy Life (Deluxe),YG,2014-01-01,235600,0,0.0968,0.681,0.462,0.0,0.22,-6.869,0.194,171.127,4
Gas Pedal,Remember Me,Sage The Gemini,2014-01-01,208160,0,0.0287,0.846,0.53,0.0,0.123,-8.062,0.0578,97.524,4
23,23,Mike WiLL Made-It,2013-01-01,252520,0,0.000349,0.863,0.609,3.97e-06,0.129,-5.231,0.0564,140.02,4
Dance (A$$) Remix,Finally Famous,Big Sean,2011-01-01,220293,63,0.0276,0.787,0.73,0.00157,0.0828,-6.788,0.35,159.825,4
Be Real (feat. DeJ Loaf),Full Speed,Kid Ink,2015-01-30,206760,0,0.122,0.762,0.611,0.000315,0.141,-5.462,0.0876,99.934,4
Get Low - Street,Kings Of Crunk,Lil Jon & The East Side Boyz,2003-01-01,334093,0,0.031,0.763,0.627,0.0,0.118,-7.457,0.037,101.045,4
Down On Me,All About You,Jeremih,2010-01-01,228453,0,0.0369,0.7,0.598,0.0,0.111,-7.783,0.114,160.041,4
Who Gon Stop Me,Watch The Throne (Deluxe),JAY-Z,2011-08-08,256706,10,0.0408,0.594,0.73,0.000164,0.715,-4.638,0.159,133.88,4
Broccoli (feat. Lil Yachty),Big Baby DRAM,DRAM,2016-10-21,225205,62,0.236,0.886,0.525,0.0,0.057,-7.39,0.131,145.99,4
Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,220293,82,0.215,0.63,0.804,0.0,0.253,-4.183,0.0363,123.146,4
Donald Trump,Blue Slide Park,Mac Miller,2011,164586,0,0.128,0.632,0.898,0.0,0.449,-7.364,0.119,162.974,4
Lolly,Lolly,Maejor,2013-01-01,225506,0,0.0383,0.661,0.88,0.0,0.782,-2.978,0.296,152.221,4
Shots,Party Rock,LMFAO,2009-01-01,222133,69,0.00851,0.825,0.856,1.4e-06,0.127,-1.912,0.0476,128.016,4
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),F.A.M.E.,Chris Brown,2011-03-18,222586,0,0.0339,0.767,0.677,5.51e-06,0.144,-6.128,0.184,146.155,4
In Da Club,Get Rich Or Die Tryin',50 Cent,2003-02-06,193466,83,0.255,0.899,0.713,0.0,0.0708,-2.752,0.366,90.051,4
Sexy Can I feat. Yung Berg,All I Feel,Ray J,2008-04-08,204040,0,0.299,0.575,0.684,0.0,0.614,-6.007,0.325,172.155,4
Dope,Hotel California (Deluxe),Tyga,2013-01-01,223080,46,0.0115,0.584,0.531,0.0,0.126,-6.907,0.375,94.907,4
All The Way Turnt Up,Ready Set Go!,Roscoe Dash,2010-01-01,293720,53,0.000889,0.512,0.965,0.0,0.264,-2.862,0.0842,132.007,4
Bitch Better Have My Money,Bitch Better Have My Money,Rihanna,2015-03-26,219305,0,0.0509,0.781,0.728,1.94e-06,0.257,-4.981,0.0621,102.99,4
Body Language (feat. Usher & Tinashe),Full Speed,Kid Ink,2015-01-30,206280,0,0.0187,0.882,0.53,0.0,0.097,-5.771,0.0379,99.015,4
Pony,R&B: From Doo-Wop To Hip-Hop,Various Artists,1999-10-11,251733,31,0.00186,0.749,0.605,0.0381,0.115,-9.359,0.086,142.024,4
Salt Shaker,Salt Shaker,Ying Yang Twins,2004-01-01,249026,13,0.0476,0.886,0.673,0.0,0.259,-7.306,0.109,101.97,4
The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,87,0.0302,0.949,0.661,0.0,0.0454,-4.244,0.0572,104.504,4
The Fix (feat. Jeremih),The Fix (feat. Jeremih),Nelly,2015-08-14,173045,0,0.0485,0.812,0.479,0.0,0.102,-6.47,0.0429,95.505,4
Gasolina Budda Remix - Remix,Crunk Juice (Limited Edition),Lil Jon,2004-01-01,282493,0,0.0648,0.72,0.823,0.0,0.109,-6.475,0.192,96.034,4
Walk It Out,Beat'n Down Yo Block,Unk,2006-10-03,173040,0,0.0982,0.794,0.777,0.0,0.202,-3.696,0.0813,160.022,4
Party Up,...And Then There Was X,DMX,1999-01-01,268866,0,0.0835,0.534,0.933,0.0,0.394,-3.282,0.366,202.058,4
We Fly High,Hustler's P.o.m.e. (expanded Edition),Jim Jones,2006,236080,0,0.0847,0.685,0.8,0.0,0.092,-6.564,0.298,120.226,5
Shake That,Curtain Call (Deluxe),Eminem,2005-12-06,274440,0,0.0543,0.964,0.642,3.68e-05,0.158,-5.831,0.109,107.006,4
How We Do,The Documentary,The Game,2005,235533,0,0.0455,0.862,0.648,0.0,0.0332,-7.401,0.251,98.012,4
Suga Suga,Tha Smokin' Nephew,Baby Bash,2003-01-01,239026,0,0.688,0.662,0.748,8.43e-06,0.0841,-3.041,0.268,82.331,4
In My Room (feat. Ty Dolla $ign & Tyga),Blood For Mercy,Yellow Claw,2015-12-04,168641,32,0.00193,0.745,0.869,0.0,0.0799,-4.375,0.0444,104.015,4
Make It Rain,"Me, Myself & I",Fat Joe,2006-11-14,247413,0,0.0106,0.744,0.697,0.0,0.0842,-5.063,0.197,149.28,4
What U Gon´ Do,Crunk Juice,Lil Jon,2004-01-01,320160,0,7.52e-05,0.836,0.721,1.31e-06,0.16,-6.91,0.271,150.106,4
Throw It Up,Kings Of Crunk,Lil Jon & The East Side Boyz,2003-01-01,373066,0,0.0487,0.697,0.594,0.0,0.323,-3.181,0.0928,146.001,4
X Gon' Give It To Ya,The Definition Of X: Pick Of The Litter,DMX,2007-01-01,217586,0,0.0139,0.769,0.899,0.0,0.0681,-3.104,0.165,95.058,4
California Love - Original Version,Greatest Hits,2Pac,1998-01-01,285026,65,0.0303,0.767,0.856,1.91e-06,0.36,-2.715,0.041,91.535,4
Let Me Blow Ya Mind,Scorpion,Eve,2001-01-01,229933,0,0.249,0.905,0.559,0.0,0.0646,-4.237,0.11,90.031,4
Right Now (Na Na Na),Freedom,Akon,2008-01-01,240746,67,0.267,0.832,0.87,0.0,0.412,-4.2,0.167,138.003,4
Country Grammar (Hot Shit),Country Grammar,Nelly,2000-06-27,287000,0,0.00802,0.872,0.673,0.0,0.155,-6.879,0.108,162.781,4
Hey Ma,Come Home With Me,Cam’ron,2002-01-01,220960,0,0.0332,0.797,0.677,5.81e-06,0.367,-5.071,0.343,90.344,4
Still D.R.E.,2001 (Explicit Version),Dr. Dre,1999-11-16,268004,1,0.175,0.814,0.779,0.000671,0.0605,-3.271,0.235,93.43,4
Hypnotize - 2014 Remaster,Life After Death (2014 Remastered Edition),The Notorious B.I.G.,1997-03-04,229826,80,0.145,0.901,0.697,0.0,0.287,-3.439,0.28,93.941,4
Express Yourself,Straight Outta Compton,N.W.A.,1988-08-08,265101,62,0.0506,0.851,0.583,0.0,0.236,-11.022,0.286,95.048,4
Straight Outta Compton,Straight Outta Compton,N.W.A.,1988-08-08,258687,72,0.0461,0.834,0.878,0.0,0.334,-9.484,0.15,102.848,4
Purple Lamborghini (with Rick Ross),Purple Lamborghini (with Rick Ross),Skrillex,2016-07-22,215510,68,0.0019,0.457,0.899,0.0,0.831,-2.591,0.132,147.268,4
Tear da Club Up '97,Most Known Hits,Three 6 Mafia,1997,220306,19,0.0644,0.702,0.868,0.0,0.429,-4.248,0.111,161.097,4
The Boss,Trilla,Rick Ross,2008-01-01,225653,54,0.00876,0.423,0.842,0.0,0.309,-4.072,0.357,83.59,4
Speedin',Trilla,Rick Ross,2008-01-01,204960,45,0.109,0.668,0.787,0.0,0.21,-4.226,0.0429,100.059,4
Hustlin',Port Of Miami,Rick Ross,2006-01-01,254093,68,0.0848,0.502,0.652,0.0,0.0675,-7.224,0.3,136.08,4
Where The Hood At,Grand Champ,DMX,2003-01-01,286266,70,0.151,0.537,0.948,0.0,0.356,-3.063,0.355,186.151,4
The Next Episode,2001 (Explicit Version),Dr. Dre,1999-11-16,161600,1,0.0313,0.92,0.891,0.0,0.083,-2.398,0.253,95.295,4
Yeah!,Confessions,Usher,2004-03-08,250373,0,0.0212,0.881,0.788,0.0,0.0377,-4.669,0.168,104.997,4
Real Nigga Roll Call,Crunk Juice,Lil Jon,2004-01-01,308880,0,0.0219,0.764,0.811,0.0,0.791,-4.728,0.335,84.053,4
Act A Fool,Chicken - N - Beer,Ludacris,2003-01-01,270973,40,0.253,0.575,0.905,0.0,0.269,-2.372,0.338,110.165,5
'Till I Collapse,The Eminem Show,Eminem,2002-05-26,297893,2,0.0748,0.551,0.851,0.0,0.0784,-3.277,0.197,171.411,4
Caribou Lou,Everready,Tech N9ne,2006,271813,63,0.127,0.784,0.815,0.0,0.0758,-2.703,0.298,178.119,4
P.I.M.P.,Get Rich Or Die Tryin',50 Cent,2003-02-06,249466,69,0.0444,0.7,0.758,1.3e-05,0.0401,-3.012,0.342,78.693,4
Move Bitch,Word Of Mouf,Ludacris,2001-01-01,270866,58,0.243,0.777,0.764,0.0,0.103,-5.681,0.141,177.868,4
Fuck Tha Police,Straight Outta Compton,N.W.A.,1988-08-08,345717,71,0.0193,0.859,0.75,0.0,0.0538,-8.325,0.303,98.691,4
Can't Be Touched (feat. Mr. Magic & Trouble),"Body Head Bangerz, Vol. 1",Various Artists,2004-10-26,214400,73,0.00323,0.642,0.777,0.0,0.227,-4.809,0.094,96.986,4
Dirt Off Your Shoulder,The Black Album,JAY-Z,2003-11-14,245173,64,0.0321,0.78,0.657,2.56e-06,0.339,-7.149,0.317,163.969,4
Get Crunk,Crunk Juice,Lil Jon,2004-01-01,257853,0,0.0933,0.782,0.972,0.0,0.611,-3.807,0.348,78.059,4
If I Can't,Get Rich Or Die Tryin',50 Cent,2003-02-06,196626,71,0.265,0.886,0.626,0.0,0.024,-2.528,0.277,93.989,4
99 Problems,Hot Joints 2 (International Version),Various Artists,2004-01-01,234453,0,0.00684,0.499,0.88,0.0,0.0991,-6.048,0.395,92.318,4
We Own It (Fast & Furious),B.O.A.T.S. II #METIME (Deluxe),2 Chainz,2013-01-01,227906,0,0.0516,0.548,0.903,0.0,0.0529,-4.562,0.409,172.042,4
Smack That,Konvicted,Akon,2006-01-01,212360,80,0.321,0.939,0.742,0.0,0.107,-5.171,0.0467,118.978,4
Don't Matter,Konvicted,Akon,2006-01-01,293053,74,0.244,0.798,0.443,0.0,0.326,-6.062,0.0403,125.232,4
Life Is Short,Life Is Short,Ski Mask The Slump God,2016-11-04,140657,55,0.254,0.743,0.411,0.0,0.292,-7.343,0.376,119.693,4
Goldie,LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,2013,192066,65,0.228,0.697,0.849,4.52e-05,0.493,-4.953,0.248,81.956,4
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,2013,233786,76,0.0239,0.853,0.693,0.0,0.11,-6.87,0.275,95.967,4
Wild for the Night (feat. Skrillex & Birdy Nam Nam),LONG.LIVE.A$AP (Deluxe Version),A$AP Rocky,2013,212640,66,0.0481,0.757,0.848,0.0,0.121,-4.234,0.335,139.995,4
Fuck Her Brains Out,Cursed With a Blessing,Montana of 300,2014-12-01,302376,49,0.104,0.741,0.861,0.0,0.281,-3.543,0.0309,115.005,4
"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",Go Off,Lil Uzi Vert,2017-03-02,217561,53,0.0256,0.733,0.777,0.0,0.239,-2.83,0.0791,88.494,4
Go Getta,The Inspiration,Jeezy,2006-01-01,229346,51,0.105,0.392,0.751,0.0,0.15,-6.586,0.155,173.825,4
Get Like Me,The Greatest Story Ever Told,David Banner,2008,224546,58,0.00312,0.609,0.751,0.0,0.228,-4.198,0.488,60.896,3
March Madness,March Madness,Future,2015-08-31,244613,0,0.173,0.406,0.661,0.0,0.101,-5.142,0.311,180.206,3
All The Way Up (feat. Infared),Plata O Plomo,Fat Joe,2017-02-17,191900,63,0.0428,0.414,0.807,0.0,0.822,-4.12,0.348,175.158,4
Waves,The Life Of Pablo,Kanye West,2016-06-10,181573,73,0.0528,0.557,0.586,7.33e-06,0.339,-4.57,0.0382,96.091,4
Juicy - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,286000,59,0.417,0.902,0.756,0.0,0.0591,-4.547,0.28,97.434,4
I Don't Like (Remix),Young & Flexin,Chief Keef,2013-10-22,279040,0,0.015,0.486,0.564,0.0,0.306,-6.93,0.303,132.026,4
No Hands (feat. Roscoe Dash & Wale),Flockaveli,Waka Flocka Flame,2010-10-01,263773,76,0.00544,0.76,0.595,0.0,0.241,-6.366,0.0391,131.497,4
Blasé (feat. Future & Rae Sremmurd),Free TC,Ty Dolla $ign,2015-11-13,285240,0,0.0219,0.897,0.642,1.31e-06,0.159,-8.828,0.0534,127.984,4
Strange Clouds (feat. Lil Wayne),Strange Clouds,B.o.B,2012-04-27,226293,58,0.0607,0.531,0.665,0.0,0.131,-6.672,0.286,73.726,4
HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,83,0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0.102,150.011,4
Unforgettable,Jungle Rules,French Montana,2017-07-14,233901,81,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,97.985,4
Text Ur Number (feat. DJ Sliink & Fetty Wap),Text Ur Number (feat. DJ Sliink & Fetty Wap),DJ Envy,2017-08-10,242135,42,0.021,0.692,0.784,1.43e-05,0.414,-5.349,0.0553,139.95,4
Esperanto,Kaleidoscope,Sean Jones,2007-08-14,373600,6,0.84,0.453,0.325,0.000137,0.109,-11.68,0.0405,118.839,5
Green Onions,Green Onions,Booker T. & the M.G.'s,1962,176333,69,0.767,0.816,0.514,0.949,0.0899,-8.741,0.0339,136.837,4
Superstition - Single Version,Song Review: A Greatest Hits Collection,Stevie Wonder,1996-01-01,239120,0,0.0887,0.65,0.658,0.00403,0.0526,-10.908,0.085,100.541,4
Higher Ground,Innervisions,Stevie Wonder,1973-08-03,222600,64,0.0631,0.716,0.85,0.00133,0.189,-9.949,0.0426,125.474,4
Waves,Waves,Mr. Probz,2013-11-22,174266,0,0.542,0.364,0.278,2.79e-05,0.38,-12.262,0.0355,173.652,4
Dirt Road Anthem,My Kinda Party,Jason Aldean,2010-11-02,229400,73,0.347,0.68,0.741,1.87e-06,0.117,-5.055,0.0357,127.024,4
Burnin' It Down,"Old Boots, New Dirt",Jason Aldean,2014-09-17,219146,45,0.31,0.68,0.788,3.82e-06,0.101,-6.677,0.0466,135.943,4
Night Train,Night Train,Jason Aldean,2012-10-16,232306,62,0.0512,0.496,0.708,1.06e-06,0.182,-5.175,0.0293,158.121,4
This Nothin' Town,Night Train,Jason Aldean,2012-10-16,191746,39,0.0559,0.63,0.742,7.38e-06,0.169,-5.226,0.0337,112.043,4
When She Says Baby,Night Train,Jason Aldean,2012-10-16,171120,63,0.0682,0.673,0.76,0.000116,0.309,-5.126,0.0361,113.063,4
Feel That Again,Night Train,Jason Aldean,2012-10-16,201666,36,0.0202,0.506,0.837,0.0,0.292,-4.652,0.0351,145.119,4
The Only Way I Know (with Luke Bryan and Eric Church),Night Train,Jason Aldean,2012-10-16,193186,60,0.227,0.511,0.798,6.51e-06,0.184,-4.314,0.0498,183.303,4
Take A Little Ride,Night Train,Jason Aldean,2012-10-16,187613,59,0.044,0.472,0.866,0.0,0.213,-3.771,0.0413,163.867,4
Staring at the Sun,Night Train,Jason Aldean,2012-10-16,194680,52,0.0613,0.532,0.523,0.0,0.363,-6.246,0.0284,135.972,4
Walking Away,Night Train,Jason Aldean,2012-10-16,217906,38,0.0576,0.495,0.7,0.0,0.14,-4.959,0.0316,155.946,4
Tattoos on This Town,My Kinda Party,Jason Aldean,2010-11-02,202466,57,0.0181,0.359,0.784,2.72e-05,0.0989,-4.404,0.0438,78.494,4
Fly Over States,My Kinda Party,Jason Aldean,2010-11-02,218200,63,0.069,0.487,0.736,0.0,0.114,-3.269,0.0326,81.587,4
Wide Open,Wide Open,Jason Aldean,2009-11-05,240346,19,0.0519,0.666,0.749,0.0,0.0868,-4.045,0.034,114.024,4
Crazy Town,Wide Open,Jason Aldean,2009-11-05,183440,35,0.129,0.419,0.836,0.0,0.0508,-3.007,0.0377,180.944,4
She's Country,Wide Open,Jason Aldean,2009-11-05,220573,54,0.221,0.554,0.872,0.0,0.0638,-2.849,0.0897,172.196,4
Big Green Tractor,Wide Open,Jason Aldean,2009-11-05,204200,52,0.654,0.616,0.596,0.0,0.218,-5.035,0.0289,137.077,4
Love Was Easy,Wide Open,Jason Aldean,2009-11-05,214693,17,0.0919,0.54,0.708,3.01e-06,0.123,-3.923,0.0301,144.927,4
The Truth,Wide Open,Jason Aldean,2009-11-05,238413,37,0.263,0.485,0.585,1.16e-06,0.103,-5.28,0.0259,143.031,4
Laughed Until We Cried,Relentless,Jason Aldean,2007-11-05,202520,29,0.405,0.546,0.487,0.0,0.0743,-5.38,0.0289,144.893,4
Knee Deep (feat. Jimmy Buffett),You Get What You Give (Deluxe),Zac Brown Band,2010-09-20,203173,0,0.432,0.715,0.584,1.41e-06,0.095,-8.231,0.0296,90.987,4
Chicken Fried,The Foundation,Zac Brown Band,2008-11-17,238146,2,0.645,0.566,0.713,0.0,0.114,-4.25,0.0417,169.864,4
Keep Me in Mind,You Get What You Give (Deluxe),Zac Brown Band,2010-09-20,214106,0,0.159,0.684,0.715,0.0,0.181,-6.132,0.0336,96.018,4
Jump Right In,Uncaged,Zac Brown Band,2012-07-03,180813,0,0.0888,0.697,0.82,0.0,0.143,-5.108,0.0575,104.022,4
Sweet Annie,Uncaged,Zac Brown Band,2012-07-03,278693,0,0.171,0.635,0.434,1.1e-06,0.106,-7.986,0.0298,139.976,4
Free,The Foundation,Zac Brown Band,2008-11-17,228653,0,0.24,0.453,0.412,0.00021,0.101,-7.539,0.0276,75.752,4
Highway 20 Ride,The Foundation,Zac Brown Band,2008-11-17,229280,0,0.551,0.55,0.402,1.38e-05,0.105,-7.195,0.0339,76.105,4
Tennessee Whiskey,Traveller,Chris Stapleton,2015-05-04,293293,81,0.205,0.392,0.37,0.0096,0.0821,-10.888,0.0298,48.718,4
Hell Of A Night,Where It's At,Dustin Lynch,2014-09-09,190426,57,0.00472,0.499,0.797,0.0,0.297,-4.845,0.0402,85.054,4
Somethin' Bad (with Carrie Underwood) - Duet with Carrie Underwood [Album],Platinum,Miranda Lambert,2014-06-02,169586,67,0.0527,0.68,0.888,2.82e-06,0.0575,-5.308,0.055,90.076,4
Gunpowder & Lead,Crazy Ex-Girlfriend,Miranda Lambert,2007-05-01,191693,66,0.153,0.333,0.907,0.0,0.395,-3.191,0.0959,187.826,4
The House That Built Me,Revolution,Miranda Lambert,2009-09-24,236626,67,0.578,0.525,0.3,8.3e-06,0.116,-8.005,0.0286,80.993,4
Little Red Wagon,Platinum,Miranda Lambert,2014-06-02,204386,57,0.0297,0.584,0.813,0.000197,0.272,-7.221,0.0582,95.081,4
White Liar,Revolution,Miranda Lambert,2009-09-24,287760,56,0.0499,0.35,0.777,0.000738,0.413,-4.33,0.0336,185.046,4
Only Prettier,Revolution,Miranda Lambert,2009-09-24,189440,55,0.0818,0.388,0.695,0.0,0.0698,-2.4,0.0348,167.966,4
Heart Like Mine,Revolution,Miranda Lambert,2009-09-24,177866,51,0.0642,0.437,0.844,1.46e-06,0.124,-3.394,0.0381,155.067,4
Smoke Break,Storyteller,Carrie Underwood,2015-10-23,198333,50,0.0513,0.453,0.839,0.0,0.348,-3.702,0.0511,160.16,4
Before He Cheats,Some Hearts,Carrie Underwood,2005-11-14,199946,78,0.271,0.519,0.749,0.0,0.119,-3.318,0.0405,147.905,4
Blown Away,Blown Away,Carrie Underwood,2012-05-01,240133,63,0.0909,0.531,0.843,0.0,0.0283,-2.569,0.0429,136.991,4
Wasted,Some Hearts,Carrie Underwood,2005-11-14,274266,53,0.0936,0.548,0.775,0.0,0.0721,-3.285,0.0306,94.998,4
Don't Forget to Remember Me,Some Hearts,Carrie Underwood,2005-11-14,240266,48,0.564,0.434,0.608,0.0,0.283,-4.281,0.0311,78.606,4
"Jesus, Take the Wheel",Some Hearts,Carrie Underwood,2005-11-14,226493,63,0.665,0.359,0.518,0.0,0.106,-3.537,0.0302,76.572,4
We're Young and Beautiful,Some Hearts,Carrie Underwood,2005-11-14,233106,36,0.145,0.599,0.892,0.0,0.104,-3.807,0.0472,103.993,4
I Ain't In Checotah Anymore,Some Hearts,Carrie Underwood,2005-11-14,199786,37,0.564,0.486,0.859,0.0,0.141,-3.579,0.0693,157.898,4
Cowboy Casanova,Play On,Carrie Underwood,2009,236786,63,0.0328,0.597,0.82,0.0,0.119,-2.529,0.0582,119.969,4
Undo It,Play On,Carrie Underwood,2009,177253,60,0.11,0.476,0.84,0.0,0.046,-2.259,0.058,156.254,4
Temporary Home,Play On,Carrie Underwood,2009,268560,51,0.731,0.416,0.354,1e-06,0.0925,-6.357,0.0263,80.767,4
Flat On the Floor,Carnival Ride,Carrie Underwood,2007-10-23,199093,36,0.204,0.415,0.946,0.0,0.213,-3.144,0.0927,176.158,4
All-American Girl,Carnival Ride,Carrie Underwood,2007-10-23,212173,64,0.0466,0.624,0.805,0.0,0.328,-2.632,0.029,123.991,4
Drink A Beer,Crash My Party,Luke Bryan,2013-01-01,202626,65,0.836,0.483,0.431,5.19e-05,0.199,-7.656,0.0343,78.26,4
Too Damn Young,Tailgates & Tanlines,Luke Bryan,2011-08-09,216013,1,0.409,0.626,0.627,0.0,0.108,-4.915,0.0265,138.061,4
Drunk On You,Tailgates & Tanlines,Luke Bryan,2011-08-09,213546,8,0.178,0.558,0.872,0.0,0.173,-4.401,0.0449,143.971,4
Country Girl (Shake It For Me),Tailgates & Tanlines,Luke Bryan,2011-08-09,225560,15,0.0293,0.645,0.904,0.0,0.0834,-4.532,0.0462,105.97,4
Save It for a Rainy Day,The Big Revival,Kenny Chesney,2014-09-22,182213,60,0.0053,0.538,0.775,0.0,0.0807,-5.48,0.0291,154.889,4
Somewhere With You,Hemingway's Whiskey,Kenny Chesney,2010-09-28,243520,61,0.0862,0.68,0.849,0.00013,0.174,-6.475,0.0376,111.969,4
American Kids,The Big Revival,Kenny Chesney,2014-09-22,182960,72,0.0476,0.782,0.589,5.84e-06,0.0366,-7.37,0.0803,85.022,4
Come Over,Welcome To The Fishbowl,Kenny Chesney,2012-06-19,248426,57,0.1,0.466,0.704,2.71e-05,0.0744,-7.169,0.0353,176.043,4
You and Tequila (feat. Grace Potter),Hemingway's Whiskey,Kenny Chesney,2010-09-28,242840,62,0.437,0.691,0.454,0.00227,0.0783,-9.13,0.0256,135.839,4
Pirate Flag,Life On A Rock,Kenny Chesney,2013-04-29,225253,0,0.0723,0.577,0.805,8.64e-06,0.106,-6.251,0.0509,160.128,4
