0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
The Ride,Take Care (Deluxe),Drake,2011-11-15,351000,56,0.517,0.556,0.702,0.0,0.343,-10.079,0.205,155.948,4
Feel No Ways,Views,Drake,2016-05-06,240653,76,0.0312,0.582,0.677,6.6e-06,0.122,-7.081,0.172,193.818,4
Faithful,Views,Drake,2016-05-06,290133,57,0.11,0.536,0.449,1.49e-05,0.284,-10.499,0.103,99.889,4
Still Here,Views,Drake,2016-05-06,189853,65,0.0258,0.834,0.433,0.0,0.633,-9.607,0.174,133.938,3
Childs Play,Views,Drake,2016-05-06,241400,68,0.0175,0.746,0.475,1.1e-05,0.197,-11.243,0.113,80.006,4
Too Good,Views,Drake,2016-05-06,263373,0,0.0573,0.804,0.648,3.49e-05,0.102,-7.805,0.117,117.983,4
Pyramids,channel ORANGE,Frank Ocean,2012-07-10,592920,72,0.0118,0.4,0.65,7.62e-05,0.791,-6.104,0.0466,107.989,4
Novacane,Novacane,Frank Ocean,2011-01-01,302346,81,0.0584,0.762,0.508,0.00126,0.16,-9.112,0.0919,93.51,4
Lockjaw (feat. Kodak Black),Lockjaw (feat. Kodak Black),French Montana,2016-05-27,223146,58,0.0411,0.615,0.648,0.0,0.277,-3.792,0.22,169.912,4
My Collection,HNDRXX,Future,2017-07-27,255556,58,0.729,0.697,0.459,8.35e-06,0.0971,-8.498,0.448,80.085,4
Still,Still,G-Eazy,2016-11-25,189931,32,0.0809,0.644,0.658,0.0,0.112,-8.327,0.265,87.55,4
Remember You (feat. blackbear),These Things Happen,G-Eazy,2014-06-20,215880,51,0.345,0.654,0.565,0.0,0.157,-8.741,0.196,140.079,4
Let's Get Lost (feat. Devon Baldwin),These Things Happen,G-Eazy,2014-06-20,240680,59,0.103,0.671,0.672,3.98e-05,0.074,-9.188,0.12,117.96,4
For This (feat. IAMNOBODI),When It's Dark Out,G-Eazy,2015-12-04,250560,39,0.00186,0.753,0.591,0.0,0.115,-9.64,0.257,149.136,4
Ill Mind of Hopsin 5,Ill Mind of Hopsin 5 - Single,Hopsin,2012-07-17,289004,59,0.514,0.737,0.707,0.0,0.393,-11.113,0.448,98.121,4
Runaway,Born Sinner,J. Cole,2013-06-14,314493,0,0.195,0.475,0.757,0.0,0.37,-7.307,0.357,187.929,4
In the Morning,Cole World: The Sideline Story,J. Cole,2011-09-23,234386,0,0.764,0.44,0.671,0.0,0.212,-10.598,0.477,83.078,4
She's Mine Pt. 1,4 Your Eyez Only,J. Cole,2016-12-09,209080,65,0.766,0.439,0.204,0.0913,0.284,-15.165,0.0587,139.652,4
She's Mine Pt. 2,4 Your Eyez Only,J. Cole,2016-12-09,278920,63,0.798,0.486,0.194,0.00624,0.114,-15.265,0.0712,70.031,4
Wet Dreamz,2014 Forest Hills Drive,J. Cole,2014-12-09,239320,7,0.0751,0.517,0.705,0.0,0.128,-8.205,0.364,175.906,4
Love Yourz,2014 Forest Hills Drive,J. Cole,2014-12-09,211680,3,0.609,0.502,0.623,0.0,0.119,-8.812,0.44,75.578,1
Don't Tell 'Em,Late Nights: The Album,Jeremih,2015-12-04,266840,73,0.392,0.856,0.527,0.0,0.11,-5.225,0.0997,98.052,4
Right Here,Believe (Deluxe Edition),Justin Bieber,2012-01-01,204186,0,0.0289,0.646,0.604,0.0,0.325,-4.964,0.0443,92.033,4
Comfortable,Only Way Is Up (Deluxe),K CAMP,2014-09-04,211573,65,0.72,0.765,0.412,0.0,0.126,-8.932,0.0726,109.986,4
Ultralight Beam,The Life Of Pablo,Kanye West,2016-06-10,320680,70,0.62,0.592,0.403,0.0,0.54,-8.768,0.414,105.169,4
FML,The Life Of Pablo,Kanye West,2016-06-10,236120,66,0.329,0.527,0.415,0.0,0.195,-7.184,0.131,125.357,4
LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar,2017-04-14,227360,72,0.0265,0.658,0.535,0.0,0.2,-8.983,0.0573,110.684,4
LOVE. FEAT. ZACARI.,DAMN.,Kendrick Lamar,2017-04-14,213400,81,0.264,0.8,0.585,0.0,0.153,-7.343,0.0924,126.058,4
Location,American Teen,Khalid,2017-04-27,219080,78,0.33,0.736,0.449,0.000162,0.0898,-11.462,0.425,80.126,4
Anziety,Everybody,Logic,2017-05-05,412560,46,0.326,0.577,0.799,0.0,0.119,-6.539,0.0721,122.903,4
Never Been,The Incredible True Story,Logic,2015-11-13,247133,50,0.11,0.664,0.795,4.53e-06,0.575,-6.083,0.0448,101.079,4
Story Of The Stairs,General Admission (Deluxe),Machine Gun Kelly,2015-10-16,190146,38,0.596,0.575,0.638,0.0,0.306,-8.515,0.32,102.067,4
Otherside (feat. Fences) [Ryan Lewis Remix],VS. Redux,Macklemore & Ryan Lewis,2010-10-20,346164,51,0.523,0.612,0.568,0.0,0.217,-8.555,0.0743,116.247,4
Bad Habits,Relief,mike.,2013-05-13,274440,21,0.0754,0.733,0.797,0.0,0.263,-6.791,0.121,88.993,4
Past Gone,Relief,mike.,2013-05-13,242320,19,0.296,0.497,0.615,0.0,0.123,-6.891,0.248,82.244,4
Say No More,Say No More,mike.,2016-05-31,220516,25,0.576,0.832,0.3,2.77e-06,0.119,-11.736,0.43,119.97,4
10th Inning,These Days,mike.,2016-01-12,202413,26,0.563,0.542,0.661,0.0,0.0942,-7.516,0.233,118.106,4
21 Questions,Get Rich Or Die Tryin',50 Cent,2003-02-06,224426,72,0.353,0.576,0.807,0.000363,0.0512,-3.908,0.317,90.012,4
Special,Issa Album,21 Savage,2017-09-23,217866,3,0.146,0.892,0.321,1.97e-05,0.116,-12.813,0.427,136.003,4
Special Love (feat. Dakari),Special Love (feat. Dakari),G-Eazy,2017-05-26,200612,28,0.0715,0.463,0.573,9.96e-05,0.11,-9.777,0.365,83.111,4
FaceTime,Issa Album,21 Savage,2017-09-23,239160,4,0.219,0.701,0.624,0.0,0.107,-11.115,0.307,93.034,4
No Scrubs,No Scrubs,William Singe,2015-12-08,127692,47,0.444,0.691,0.388,0.0,0.108,-8.893,0.126,156.028,3
Here,Here,William Singe,2015-12-15,121052,28,0.315,0.787,0.257,0.0,0.0619,-11.922,0.352,57.003,4
Outside,Trilogy,The Weeknd,2012-11-13,260093,56,0.693,0.565,0.446,0.0,0.469,-9.26,0.0531,140.121,4
Tell Your Friends,Beauty Behind The Madness,The Weeknd,2015-08-28,334333,0,0.246,0.584,0.455,0.0,0.181,-11.066,0.0488,74.634,4
LoveHate Thing (feat. Sam Dew),The Gifted,Wale,2013-06-24,267400,19,0.0771,0.736,0.691,0.0,0.0422,-6.118,0.169,99.954,4
Shades Of Blue,There's Alot Going On,VIC MENSA,2016-06-03,286386,30,0.406,0.517,0.577,0.0,0.315,-7.026,0.515,95.417,3
Homewrecker,The Autobiography,VIC MENSA,2017-07-28,248106,34,0.256,0.515,0.806,0.0,0.0789,-5.247,0.132,85.794,4
No Limit,Hard II Love,Usher,2016-09-16,228613,0,0.0799,0.717,0.523,0.0,0.206,-6.506,0.0611,127.047,4
Know Ya (feat. Trey Songz),Free TC,Ty Dolla $ign,2015-11-13,292893,0,0.683,0.703,0.38,0.0,0.244,-10.678,0.113,135.859,4
On The Way,TWENTY88,TWENTY88,2016-04-01,203226,56,0.0887,0.65,0.683,0.0,0.252,-7.098,0.311,130.073,4
Déjà vu,TWENTY88,TWENTY88,2016-04-01,251906,53,0.164,0.568,0.617,0.0,0.0888,-8.994,0.2,123.667,4
first take,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,313909,57,0.015,0.423,0.536,0.0,0.095,-3.8,0.16,71.313,5
Loners Blvd,I Told You,Tory Lanez,2016-08-19,324226,36,0.615,0.619,0.494,0.0,0.325,-10.488,0.0777,117.594,4
To D.R.E.A.M.,I Told You,Tory Lanez,2016-08-19,339520,47,0.00979,0.48,0.523,0.0,0.143,-8.304,0.105,137.671,5
Used to You,Used to You,Russ,2017-01-22,200933,36,0.53,0.723,0.262,0.0,0.0818,-12.075,0.0802,91.88,4
Emergency,There's Really A Wolf,Russ,2017-05-05,230173,41,0.0338,0.71,0.725,0.0,0.285,-7.129,0.276,85.97,4
Back To You,There's Really A Wolf,Russ,2017-05-05,207546,46,0.00571,0.47,0.603,0.0,0.221,-5.44,0.455,65.05,4
Scared,There's Really A Wolf,Russ,2017-05-05,179066,55,0.652,0.597,0.418,0.0,0.12,-10.03,0.177,129.948,4
Losin Control,There's Really A Wolf,Russ,2017-05-05,237506,75,0.515,0.759,0.245,0.000154,0.102,-6.545,0.138,96.992,4
Got This,There's Really A Wolf,Russ,2017-05-05,172773,46,0.0823,0.833,0.434,0.0,0.155,-10.323,0.414,124.968,4
Family & Friends,There's Really A Wolf,Russ,2017-05-05,175106,44,0.711,0.782,0.367,0.0,0.102,-10.861,0.305,134.986,4
Ride Slow,There's Really A Wolf,Russ,2017-05-05,185400,64,0.632,0.737,0.429,0.0,0.104,-10.252,0.0785,99.955,4
Me You,There's Really A Wolf,Russ,2017-05-05,164200,61,0.00196,0.702,0.762,0.000451,0.142,-2.733,0.0328,95.019,4
Cherry Hill,There's Really A Wolf,Russ,2017-05-05,222453,69,0.161,0.681,0.469,0.403,0.108,-10.803,0.0366,130.022,4
T'd Up,T'd Up,Russ,2016-05-10,194220,38,0.303,0.762,0.513,0.0,0.0815,-7.402,0.114,139.962,4
"Psycho, Pt. 2","Psycho, Pt. 2",Russ,2016-11-08,161985,71,0.775,0.766,0.548,5.57e-06,0.1,-4.29,0.235,82.944,4
Goodbye,Pink Elephant,Russ,2014-01-23,252865,62,0.354,0.743,0.377,0.0,0.187,-12.409,0.0376,112.366,3
The Otherside,The Otherside,Russ,2016-02-24,186253,43,0.881,0.753,0.282,0.0,0.0913,-13.668,0.0605,125.911,4
The Journey,The Journey,Russ,2017-02-06,268982,33,0.168,0.497,0.859,0.0,0.059,-5.234,0.412,166.781,4
Ain't Nobody Takin My Baby,Ain't Nobody Takin My Baby,Russ,2016-12-23,189231,65,0.673,0.696,0.57,3.02e-06,0.098,-9.084,0.557,76.976,4
Diced Pineapples,"God Forgives, I Don't (Deluxe Edition)",Rick Ross,2012-01-01,276160,56,0.352,0.511,0.735,0.0,0.196,-6.026,0.239,110.965,5
"Yours Truly, Austin Post",Stoney (Deluxe),Post Malone,2016-12-09,219146,58,0.483,0.649,0.618,2.53e-06,0.166,-5.694,0.0672,125.977,4
Up There,Stoney (Deluxe),Post Malone,2016-12-09,194826,63,0.373,0.654,0.378,1.07e-05,0.0971,-8.108,0.0322,72.976,4
Options,PARTYNEXTDOOR TWO,PARTYNEXTDOOR,2014-07-29,272269,47,0.00819,0.695,0.65,0.0189,0.13,-5.013,0.0448,121.538,4
Spiteful,PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR,2016-08-12,335648,38,0.0209,0.395,0.471,0.0024,0.357,-10.877,0.0694,114.407,4
Wus Good / Curious,PARTYNEXTDOOR,PARTYNEXTDOOR,2013-07-01,212880,66,0.0727,0.344,0.537,0.000127,0.225,-8.215,0.079,82.878,5
Come and See Me (feat. Drake),PARTYNEXTDOOR 3 (P3),PARTYNEXTDOOR,2016-08-12,235477,73,0.0511,0.717,0.347,2.43e-06,0.087,-10.265,0.0636,84.987,4
RENDEZVOUS,COLOURS 2,PARTYNEXTDOOR,2017-06-02,211914,45,0.00507,0.776,0.374,2.42e-06,0.11,-7.323,0.0478,94.004,4
FREAK IN YOU,COLOURS 2,PARTYNEXTDOOR,2017-06-02,272339,59,0.144,0.465,0.42,0.0,0.174,-8.503,0.0516,86.549,4
PEACE OF MIND,COLOURS 2,PARTYNEXTDOOR,2017-06-02,303030,56,0.283,0.782,0.367,0.0,0.0899,-5.28,0.0548,99.005,4
Brand New,This Isn't The Album,mike.,2015-10-30,176511,36,0.484,0.824,0.369,4.95e-05,0.0996,-8.226,0.0824,132.024,4
Brightside,This Isn't The Album,mike.,2015-10-30,248222,45,0.695,0.803,0.305,0.000608,0.133,-12.666,0.224,117.084,4
Jack Daniels,These Days,mike.,2016-01-12,206026,44,0.564,0.692,0.552,0.0289,0.158,-8.265,0.0473,80.026,4
Through the Night,These Days,mike.,2016-01-12,209880,27,0.681,0.416,0.506,0.00134,0.123,-8.55,0.114,81.323,5
Spell Check,These Days,mike.,2016-01-12,108760,24,0.063,0.681,0.618,6.34e-05,0.0451,-7.952,0.108,129.823,4
Black Out,These Days,mike.,2016-01-12,216320,30,0.424,0.439,0.63,0.00146,0.172,-7.563,0.48,169.616,4
Unforgettable,Jungle Rules,French Montana,2017-07-14,233901,81,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,97.985,4
1-800-273-8255,Everybody,Logic,2017-05-05,250173,77,0.569,0.62,0.574,0.0,0.19,-7.788,0.0479,100.023,4
Gang Related,Under Pressure (Deluxe),Logic,2014-10-21,167320,63,0.209,0.597,0.856,0.0159,0.278,-7.089,0.0431,131.95,4
Alright,Under Pressure (Deluxe),Logic,2014-10-21,218280,60,0.0504,0.807,0.693,7.75e-06,0.0762,-5.056,0.0481,127.035,4
Go Flex,Stoney (Deluxe),Post Malone,2016-12-09,179613,78,0.228,0.665,0.498,0.0,0.0757,-8.185,0.0832,81.967,4
I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,79,0.0689,0.556,0.538,0.0,0.196,-5.408,0.0382,143.95,4
Leave,Stoney (Deluxe),Post Malone,2016-12-09,324853,62,0.246,0.535,0.55,0.000105,0.124,-7.249,0.0229,90.086,4
When We,SAVAGE,Tank,2017-09-29,309120,61,0.165,0.635,0.324,4.18e-06,0.108,-9.51,0.0769,117.863,4
Broken Whiskey Glass,Stoney (Deluxe),Post Malone,2016-12-09,233813,58,0.289,0.512,0.673,3.04e-06,0.126,-7.359,0.0523,99.84,4
Big Lie,Stoney (Deluxe),Post Malone,2016-12-09,207680,61,0.191,0.442,0.684,0.0,0.0725,-4.888,0.168,170.861,4
Say It,I Told You,Tory Lanez,2016-08-19,237786,73,0.0862,0.546,0.529,6.5e-06,0.124,-10.511,0.0583,107.331,4
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,84,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,4
Waves,The Life Of Pablo,Kanye West,2016-06-10,181573,73,0.0528,0.557,0.586,7.33e-06,0.339,-4.57,0.0382,96.091,4
Never Know,FREE 6LACK,6LACK,2016-11-18,249680,56,0.0947,0.645,0.571,3.32e-06,0.185,-9.021,0.2,95.223,4
Time for That,Islah (Deluxe),Kevin Gates,2016-01-29,208440,63,0.0465,0.823,0.617,0.0,0.11,-8.21,0.248,110.007,4
Manifest,Manifest,Russ,2016-04-05,142053,56,0.201,0.438,0.483,0.0,0.109,-10.344,0.282,150.292,4
Nobody Else but You,Tremaine the Album,Trey Songz,2017-03-24,229013,58,0.0381,0.708,0.612,0.0,0.277,-6.379,0.122,139.913,4
PRBLMS,FREE 6LACK,6LACK,2016-11-18,246773,71,0.0307,0.417,0.58,1.45e-06,0.179,-4.574,0.207,68.58,5
Stuck on Stupid - Edit,Stuck on Stupid (Edit),NO1-NOAH,2017-09-22,225720,41,0.85,0.663,0.478,0.0,0.206,-6.67,0.0397,138.249,4
Free,FREE 6LACK,6LACK,2016-11-18,263013,59,0.00292,0.755,0.535,4.99e-06,0.104,-5.088,0.0476,123.961,4
The Stakeout,There's Really A Wolf,Russ,2017-05-05,171013,46,0.0404,0.722,0.663,0.0,0.108,-4.652,0.436,160.106,4
Think About You (feat. Quiñ),When It's Dark Out,G-Eazy,2015-12-04,179346,47,0.228,0.725,0.489,7.28e-06,0.0854,-12.565,0.256,95.154,4
Down For Me (feat. 24hrs),Step Brothers,G-Eazy,2017-04-11,203613,53,0.0454,0.545,0.601,0.0,0.164,-7.85,0.298,95.848,4
Drifting (feat. Chris Brown & Tory Lanez),When It's Dark Out,G-Eazy,2015-12-04,273253,56,0.00203,0.554,0.758,0.0,0.3,-6.772,0.129,134.897,4
Get You Good,Exis,Roy Woods,2015-07-31,226632,57,0.0306,0.69,0.502,0.0,0.145,-7.077,0.0638,86.185,4
BUTTERFLY EFFECT,BUTTERFLY EFFECT,Travis Scott,2017-05-18,190677,0,0.0714,0.763,0.598,0.0,0.112,-6.865,0.0539,140.987,4
Too Young,Stoney (Deluxe),Post Malone,2016-12-09,237146,64,0.271,0.602,0.635,3.2e-05,0.0829,-6.526,0.052,123.05,4
Complete,These Things Happen,G-Eazy,2014-06-20,188920,46,0.00954,0.615,0.549,0.000101,0.109,-7.34,0.112,144.099,4
Bless Me,Bless Me - Single,6LACK,2016-05-17,260893,48,0.356,0.474,0.446,0.0,0.163,-8.803,0.241,86.766,4
Fallin' Too,Fallin' Too,Russ,2016-12-11,300251,45,0.318,0.76,0.516,7.08e-05,0.105,-6.23,0.195,85.016,4
Maybe,Maybe,Russ,2017-09-22,174880,46,0.0704,0.787,0.666,0.0,0.0935,-7.719,0.0522,143.016,4
The Game,The Game,Russ,2017-08-21,277942,37,0.251,0.503,0.755,0.0,0.162,-6.556,0.303,78.881,4
Another Sad Love Song,American Teen,Khalid,2017-04-27,244746,64,0.412,0.834,0.472,6.76e-05,0.0836,-7.777,0.0873,107.014,4
Some Way,NAV,NAV,2017-02-24,179773,73,0.101,0.744,0.715,0.0,0.0919,-6.103,0.351,154.962,4
Tru,Tru - Single,Lloyd,2016-05-06,255881,43,0.196,0.539,0.545,0.0,0.101,-5.775,0.0721,73.08,4
From This Valley,The Civil Wars,The Civil Wars,2013-07-30,213400,11,0.537,0.317,0.451,0.0,0.0898,-6.762,0.0347,173.831,4
Farther Along,Love & War & The Sea In Between,Josh Garrels,2011-07-15,304516,52,0.0783,0.557,0.533,0.00955,0.413,-6.114,0.03,92.999,4
Dark Skies,To Paint a Picture,Ethan Pierce,2012-04-28,220000,0,0.691,0.408,0.342,0.0,0.128,-8.987,0.0326,116.314,4
We Are Broken,Riot!,Paramore,2007-06-11,218333,46,0.00576,0.489,0.611,7.65e-06,0.0917,-5.675,0.0337,140.956,4
That Wasn't Me,Bear Creek,Brandi Carlile,2012-06-01,222293,49,0.785,0.543,0.327,0.0,0.0888,-6.813,0.0368,135.257,3
Murder in the City,The Second Gleam,The Avett Brothers,2008-07-22,192426,53,0.922,0.632,0.254,9.06e-05,0.13,-10.898,0.0338,106.026,4
The Perfect Space,I And Love And You,The Avett Brothers,2009-01-01,271080,43,0.815,0.392,0.217,0.00375,0.218,-9.148,0.0332,112.559,4
Down In The Valley,The Head And The Heart,The Head And The Heart,2010,303653,0,0.601,0.409,0.409,0.0196,0.113,-10.469,0.0307,105.825,4
Hold On,Hold On,The Gospel Whiskey Runners,2011-09-03,225720,35,0.32,0.49,0.657,0.00486,0.169,-8.241,0.0323,83.982,4
Pretty Pimpin,b'lieve i'm goin down...,Kurt Vile,2015-09-25,298760,0,0.0928,0.566,0.664,0.305,0.0903,-9.081,0.0281,91.117,4
Rivers And Roads,The Head And The Heart,The Head And The Heart,2010,284000,0,0.708,0.476,0.207,0.000154,0.0821,-8.814,0.0342,136.508,3
Sounds Like Hallelujah,The Head And The Heart,The Head And The Heart,2010,190293,0,0.273,0.38,0.4,1.29e-06,0.334,-8.267,0.0253,92.949,4
Time After Time,Time After Time,Iron & Wine,2016-10-28,170216,2,0.814,0.628,0.248,0.0602,0.111,-13.304,0.032,125.298,4
Big Black Car,This Empty Northern Hemisphere,Gregory Alan Isakov,2009-01-01,217466,70,0.909,0.6,0.186,0.00102,0.104,-15.926,0.0317,110.044,4
Bloom - Bonus Track,Woodland - EP,The Paper Kites,2013-03-05,210080,15,0.882,0.592,0.416,0.000586,0.112,-9.794,0.0246,96.002,4
October - Remastered 2008,October (Deluxe Edition Remastered),U2,1981-10-12,141040,0,0.959,0.471,0.0365,0.808,0.099,-18.46,0.0608,172.646,4
Pride and Joy,Give Up The Ghost,Brandi Carlile,2009-10-05,260866,33,0.775,0.309,0.358,0.000116,0.102,-7.036,0.029,168.739,4
I Wish,To Paint a Picture,Ethan Pierce,2012-04-28,311480,0,0.564,0.28,0.376,0.0,0.116,-9.221,0.0312,148.923,3
Dream Machines,June Gloom (Deluxe Edition),Big Deal,2014-07-22,182280,25,3.14e-05,0.319,0.721,0.3,0.255,-5.342,0.0344,103.078,4
Mai Joy,Chair EP,Big Deal,2011-10-24,263890,4,0.104,0.345,0.374,0.767,0.23,-9.051,0.0289,132.183,4
13,June Gloom (Deluxe Edition),Big Deal,2014-07-22,248391,7,0.955,0.468,0.0927,0.000143,0.112,-12.836,0.0591,62.512,4
Medicine,Wild Youth EP,Daughter,2012-01-01,258973,0,0.115,0.243,0.313,0.237,0.593,-12.069,0.0285,92.975,3
Smother,If You Leave,Daughter,2013-01-01,240560,0,0.925,0.507,0.138,0.0777,0.12,-16.447,0.0334,124.983,4
Candles,His Young Heart EP,Daughter,2012-01-01,293320,0,0.209,0.407,0.458,3.69e-06,0.0895,-11.795,0.0432,156.234,4
In the Hearts of Men,The Lion's Roar,First Aid Kit,2012-01-23,253493,0,0.528,0.546,0.339,0.00281,0.0897,-8.075,0.0273,126.851,4
Mouthful of Diamonds,Eyelid Movies,Phantogram,2009,253426,0,0.138,0.613,0.815,0.821,0.113,-4.541,0.0295,99.983,4
When I'm Small,Eyelid Movies,Phantogram,2009,249066,0,0.191,0.646,0.758,0.097,0.103,-4.34,0.0314,91.998,4
Don't Move,Nightlife,Phantogram,2011,258186,0,7.19e-05,0.558,0.642,0.00746,0.201,-5.206,0.0321,99.977,4
The Day You Died,Voices,Phantogram,2014-02-18,229346,32,0.00334,0.61,0.884,0.000348,0.0996,-3.579,0.0358,141.6,4
Celebrating Nothing,Voices,Phantogram,2014-02-18,226480,32,0.00124,0.469,0.814,4.65e-05,0.0356,-4.58,0.0345,91.904,4
Byegone,Repave,Volcano Choir,2013-09-03,262533,0,0.917,0.496,0.352,0.0374,0.118,-10.28,0.0357,140.01,4
Fever Dreams,Dracula,Nurses,2011-09-20,215760,0,0.186,0.655,0.915,0.796,0.303,-7.317,0.0324,130.07,4
Girlfriend,Melted,Ty Segall,2010-05-25,132760,41,0.000596,0.224,0.925,1.35e-06,0.0663,-1.71,0.0834,138.022,4
My Shadow,Blood Visions,Jay Reatard,2009,198400,44,0.229,0.412,0.938,0.000259,0.106,-0.253,0.182,97.489,4
Lust for Life,Album,Girls,2009-09-28,145293,41,0.013,0.279,0.69,0.179,0.107,-6.107,0.032,77.37,4
Summertime,Album,Girls,2009,338825,0,0.0322,0.276,0.512,0.378,0.287,-8.169,0.0405,139.972,4
Magic,Father Son Holy Ghost,Girls,2011-09-09,209213,0,0.000203,0.455,0.699,0.0403,0.292,-6.305,0.031,110.037,4
With Candy,Everything Wrong Is Imaginary,Lilys,2006-02-21,156479,6,0.00543,0.575,0.888,1.45e-05,0.362,-5.084,0.0338,127.969,4
Clouds,Come Now Sleep,As Cities Burn,2007-01-01,321466,17,0.0114,0.453,0.731,0.0909,0.348,-7.778,0.0635,126.023,4
Made Too Pretty,Hell Or High Water,As Cities Burn,2009-01-01,246386,32,0.0215,0.568,0.675,0.0,0.0699,-8.479,0.0647,140.089,4
Contact,Come Now Sleep,As Cities Burn,2007-01-01,411506,33,0.0384,0.262,0.503,0.0973,0.115,-8.796,0.0365,109.401,4
alone,Broken Voice,My Epic,2011-07-05,358013,18,0.52,0.418,0.449,4.42e-06,0.468,-8.665,0.0423,155.063,4
Heart It Races - Dr. Dog Version,We All Belong,Dr. Dog,2007,232280,24,0.466,0.647,0.701,0.0437,0.485,-6.962,0.0352,98.62,4
Run Boy Run,The Golden Age,Woodkid,2013-01-01,213266,0,0.084,0.506,0.959,0.000655,0.135,-5.264,0.102,133.996,4
Iron,The Golden Age,Woodkid,2013-01-01,201693,47,0.074,0.656,0.776,0.731,0.166,-4.292,0.0583,130.048,4
The Exit,Devil,Lydia,2013-03-19,212750,0,0.26,0.46,0.881,2.27e-05,0.105,-4.764,0.0399,156.931,4
Holidays,Devil,Lydia,2013-03-19,213500,0,0.0666,0.538,0.766,0.000557,0.36,-5.612,0.0307,142.024,4
Knee Deep,Devil,Lydia,2013-03-19,170124,0,0.311,0.438,0.873,0.0,0.112,-3.612,0.0412,135.876,4
Land of the Bloody Unknown,I Want That You Are Always Happy,The Middle East,2011,193373,28,0.289,0.484,0.654,2.99e-05,0.18,-6.84,0.0333,133.299,4
Dog,Afraid Of Heights,Wavves,2013-03-26,190746,25,0.0913,0.575,0.569,0.0,0.145,-7.199,0.0275,113.932,4
Everything Is My Fault,Afraid Of Heights,Wavves,2013-03-26,158053,19,0.0109,0.508,0.642,0.174,0.262,-8.246,0.0328,125.962,4
Swim,Astro Coast,Surfer Blood,2010-01-01,195493,10,0.134,0.478,0.869,0.000909,0.438,-6.099,0.0586,122.026,4
A Dream,Splintered Selves EP,Nude Pop,2013-04-09,254800,1,0.00416,0.44,0.857,0.687,0.0887,-5.602,0.0496,159.961,4
Lurker,Splintered Selves EP,Nude Pop,2013-04-09,314462,3,0.0137,0.242,0.849,0.466,0.313,-5.757,0.0405,86.946,4
Guns for Hands,Vessel,Twenty One Pilots,2013-01-08,273335,64,0.00694,0.684,0.858,0.000167,0.0828,-4.266,0.0342,129.963,4
Holding on to You,Vessel,Twenty One Pilots,2013-01-08,263733,66,0.241,0.608,0.776,0.0,0.0713,-3.635,0.0511,89.996,4
